year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,gallons_group,gallons_strip,event_duration_hours,avg_flow_gph_strip,baseline_vwc,peak_vwc,peak_increase,plateau_vwc,plateau_method,bottom_response_delay_hr,time_to_peak_hours,time_to_plateau_hours,lag_after_irrigation_hr,profile_baseline_storage_gal,profile_plateau_storage_gal,event_storage_gal,efficiency_strip,estimated_loss_gal_strip
2023.0000,S1_S2,west,S2,2023-06-01_S1_S2_28dbbfca,VWC_3_raw_S2_B,3,18.0000,B,2023-06-01 12:16:00,2023-06-01 18:45:00,67300.0000,33650.0000,6.4800,5190.2300,25.8200,39.0600,13.2400,35.1400,fallback_window,7.7300,7.7300,11.7300,5.2500,12210.1600,15969.1400,3758.9800,0.1100,29891.0200
2023.0000,S1_S2,west,S2,2023-06-26_S1_S2_69e5d9b6,VWC_1_raw_S2_B,1,6.0000,B,2023-06-26 09:31:00,2023-06-26 16:02:00,89400.0000,44700.0000,6.5200,6859.3400,8.5800,41.1400,32.5500,31.1800,flat_segment,7.9800,7.9800,22.2300,15.7200,4128.6400,15556.2800,11427.6400,0.2600,33272.3600
2023.0000,S1_S2,west,S2,2023-06-26_S1_S2_69e5d9b6,VWC_2_raw_S2_B,2,12.0000,B,2023-06-26 09:31:00,2023-06-26 16:02:00,89400.0000,44700.0000,6.5200,6859.3400,7.1600,36.6900,29.5300,31.1400,flat_segment,7.4800,7.4800,17.2300,10.7200,4128.6400,15556.2800,11427.6400,0.2600,33272.3600
2023.0000,S1_S2,west,S2,2023-06-26_S1_S2_69e5d9b6,VWC_3_raw_S2_B,3,18.0000,B,2023-06-26 09:31:00,2023-06-26 16:02:00,89400.0000,44700.0000,6.5200,6859.3400,9.9700,40.7900,30.8200,34.5500,fallback_window,7.9800,7.9800,11.9800,5.4700,4128.6400,15556.2800,11427.6400,0.2600,33272.3600
2023.0000,S1_S2,west,S2,2023-07-17_S1_S2_ae0a89b4,VWC_1_raw_S2_B,1,6.0000,B,2023-07-17 08:04:00,2023-07-17 16:04:00,120900.0000,60450.0000,8.0000,7556.2500,8.5500,39.9700,31.4200,36.3800,fallback_window,8.4300,8.4300,12.4300,4.4300,3652.2700,17029.3800,13377.1100,0.2200,47072.8900
2023.0000,S1_S2,west,S2,2023-07-17_S1_S2_ae0a89b4,VWC_2_raw_S2_B,2,12.0000,B,2023-07-17 08:04:00,2023-07-17 16:04:00,120900.0000,60450.0000,8.0000,7556.2500,6.9300,35.2300,28.3000,35.1900,flat_segment,8.4300,8.4300,8.6800,0.6800,3652.2700,17029.3800,13377.1100,0.2200,47072.8900
2023.0000,S1_S2,west,S2,2023-07-17_S1_S2_ae0a89b4,VWC_3_raw_S2_B,3,18.0000,B,2023-07-17 08:04:00,2023-07-17 16:04:00,120900.0000,60450.0000,8.0000,7556.2500,7.2700,36.8500,29.5800,34.4800,fallback_window,9.4300,9.4300,13.4300,5.4300,3652.2700,17029.3800,13377.1100,0.2200,47072.8900
2023.0000,S1_S2,west,S2,2023-08-05_S1_S2_efaa9d14,VWC_1_raw_S2_B,1,6.0000,B,2023-08-05 08:48:00,2023-08-05 14:56:00,98500.0000,49250.0000,6.1300,8029.8900,9.6300,39.8500,30.2200,30.3800,flat_segment,7.4500,7.4500,20.9500,14.8200,5906.0400,15286.8300,9380.7900,0.1900,39869.2100
2023.0000,S1_S2,west,S2,2023-08-05_S1_S2_efaa9d14,VWC_2_raw_S2_B,2,12.0000,B,2023-08-05 08:48:00,2023-08-05 14:56:00,98500.0000,49250.0000,6.1300,8029.8900,8.9200,35.9800,27.0700,29.8100,flat_segment,7.7000,7.7000,17.4500,11.3200,5906.0400,15286.8300,9380.7900,0.1900,39869.2100
2023.0000,S1_S2,west,S2,2023-08-05_S1_S2_efaa9d14,VWC_3_raw_S2_B,3,18.0000,B,2023-08-05 08:48:00,2023-08-05 14:56:00,98500.0000,49250.0000,6.1300,8029.8900,18.2300,39.6600,21.4300,35.0100,fallback_window,7.7000,7.7000,11.7000,5.5700,5906.0400,15286.8300,9380.7900,0.1900,39869.2100
2023.0000,S1_S2,west,S2,2023-08-24_S1_S2_6cc99259,VWC_1_raw_S2_B,1,6.0000,B,2023-08-24 13:47:00,2023-08-24 18:16:00,60250.0000,30125.0000,4.4800,6719.3300,9.2000,39.1300,29.9300,30.1900,flat_segment,5.7200,5.7200,17.2200,12.7300,5800.6200,14868.9100,9068.3000,0.3000,21056.7000
2023.0000,S1_S2,west,S2,2023-08-24_S1_S2_6cc99259,VWC_2_raw_S2_B,2,12.0000,B,2023-08-24 13:47:00,2023-08-24 18:16:00,60250.0000,30125.0000,4.4800,6719.3300,8.2400,35.4900,27.2500,29.0100,flat_segment,5.9700,5.9700,15.9700,11.4800,5800.6200,14868.9100,9068.3000,0.3000,21056.7000
2023.0000,S1_S2,west,S2,2023-08-24_S1_S2_6cc99259,VWC_3_raw_S2_B,3,18.0000,B,2023-08-24 13:47:00,2023-08-24 18:16:00,60250.0000,30125.0000,4.4800,6719.3300,18.6800,39.7300,21.0500,33.4000,fallback_window,5.9700,5.9700,9.9700,5.4800,5800.6200,14868.9100,9068.3000,0.3000,21056.7000
2023.0000,S1_S2,west,S2,2023-09-21_S1_S2_6dbb0789,VWC_1_raw_S2_B,1,6.0000,B,2023-09-21 09:07:00,2023-09-21 16:09:00,75300.0000,37650.0000,7.0300,5353.0800,8.3200,35.8400,27.5200,29.5600,flat_segment,8.3800,8.3800,22.1300,15.1000,3713.3700,14425.9500,10712.5700,0.2800,26937.4300
2023.0000,S1_S2,west,S2,2023-09-21_S1_S2_6dbb0789,VWC_2_raw_S2_B,2,12.0000,B,2023-09-21 09:07:00,2023-09-21 16:09:00,75300.0000,37650.0000,7.0300,5353.0800,6.9800,34.0000,27.0100,28.8700,flat_segment,8.3800,8.3800,20.8800,13.8500,3713.3700,14425.9500,10712.5700,0.2800,26937.4300
2023.0000,S1_S2,west,S2,2023-09-21_S1_S2_6dbb0789,VWC_3_raw_S2_B,3,18.0000,B,2023-09-21 09:07:00,2023-09-21 16:09:00,75300.0000,37650.0000,7.0300,5353.0800,7.8200,38.1400,30.3200,31.4100,fallback_window,8.3800,8.3800,12.3800,5.3500,3713.3700,14425.9500,10712.5700,0.2800,26937.4300
