event_id,strip,sensor_col,output_file,status
41,S2,VWC_2_raw_S2_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S2_VWC_2_raw_S2_B_event_41.png,written
41,S2,VWC_3_raw_S2_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S2_VWC_3_raw_S2_B_event_41.png,written
68,S3,VWC_1_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_1_raw_S3_B_event_68.png,written
68,S3,VWC_2_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_2_raw_S3_B_event_68.png,written
68,S3,VWC_3_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_3_raw_S3_B_event_68.png,written
69,S3,VWC_1_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_1_raw_S3_B_event_69.png,written
69,S3,VWC_2_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_2_raw_S3_B_event_69.png,written
69,S3,VWC_3_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_3_raw_S3_B_event_69.png,written
70,S3,VWC_1_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_1_raw_S3_B_event_70.png,written
70,S3,VWC_2_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_2_raw_S3_B_event_70.png,written
70,S3,VWC_3_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_3_raw_S3_B_event_70.png,written
71,S3,VWC_1_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_1_raw_S3_B_event_71.png,written
71,S3,VWC_2_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_2_raw_S3_B_event_71.png,written
71,S3,VWC_3_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_3_raw_S3_B_event_71.png,written
72,S3,VWC_1_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_1_raw_S3_B_event_72.png,written
72,S3,VWC_2_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_2_raw_S3_B_event_72.png,written
72,S3,VWC_3_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_3_raw_S3_B_event_72.png,written
73,S3,VWC_1_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_1_raw_S3_B_event_73.png,written
73,S3,VWC_2_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_2_raw_S3_B_event_73.png,written
73,S3,VWC_3_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_3_raw_S3_B_event_73.png,written
74,S3,VWC_1_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_1_raw_S3_B_event_74.png,written
74,S3,VWC_2_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_2_raw_S3_B_event_74.png,written
74,S3,VWC_3_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_3_raw_S3_B_event_74.png,written
75,S3,VWC_1_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_1_raw_S3_B_event_75.png,written
75,S3,VWC_2_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_2_raw_S3_B_event_75.png,written
75,S3,VWC_3_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_3_raw_S3_B_event_75.png,written
76,S3,VWC_1_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_1_raw_S3_B_event_76.png,written
76,S3,VWC_2_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_2_raw_S3_B_event_76.png,written
76,S3,VWC_3_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_3_raw_S3_B_event_76.png,written
77,S3,VWC_1_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_1_raw_S3_B_event_77.png,written
77,S3,VWC_2_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_2_raw_S3_B_event_77.png,written
77,S3,VWC_3_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_3_raw_S3_B_event_77.png,written
78,S3,VWC_1_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_1_raw_S3_B_event_78.png,written
78,S3,VWC_2_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_2_raw_S3_B_event_78.png,written
78,S3,VWC_3_raw_S3_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S3_VWC_3_raw_S3_B_event_78.png,written
105,S4,VWC_1_raw_S4_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S4_VWC_1_raw_S4_B_event_105.png,written
105,S4,VWC_2_raw_S4_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S4_VWC_2_raw_S4_B_event_105.png,written
105,S4,VWC_3_raw_S4_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S4_VWC_3_raw_S4_B_event_105.png,written
106,S4,VWC_1_raw_S4_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S4_VWC_1_raw_S4_B_event_106.png,written
106,S4,VWC_2_raw_S4_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S4_VWC_2_raw_S4_B_event_106.png,written
