year,date,pair,regime,event_id,biochar,control,applied_gal,bio_storage_ok,ctrl_storage_ok,matched_storage_ok,bio_storage_gal,ctrl_storage_gal,storage_diff_gal,bio_storage_pct,ctrl_storage_pct,storage_diff_pct,matched_unretained_ok,bio_unretained_gal,ctrl_unretained_gal,unretained_diff_gal,bio_unretained_pct,ctrl_unretained_pct,unretained_diff_pct,bio_arrival_hr,ctrl_arrival_hr,arrival_diff_hr
2025,2025-08-08,S3_S4,biweekly,2025-08-08_S3_S4_7c793582,S3,S4,38750.00,False,True,False,,15168.00,,,39.14,,False,,,,,,,2.27,5.77,-3.50
2025,2025-08-22,S3_S4,biweekly,2025-08-22_S3_S4_1b405e4b,S3,S4,30625.00,False,False,False,,,,,,,False,,,,,,,6.38,,
2025,2025-09-20,S3_S4,biweekly,2025-09-20_S3_S4_f86ee2c5,S3,S4,86100.00,False,True,False,,13344.00,,,15.50,,False,,,,,,,2.05,2.55,-0.50
2025,2025-10-04,S3_S4,biweekly,2025-10-04_S3_S4_4439230e,S3,S4,51800.00,False,True,False,,14689.00,,,28.36,,False,,,,,,,1.05,7.55,-6.50
2026,2026-04-21,S1_S2,monthly,2026-04-21_S1_S2_001c30f6,S1,S2,110850.00,True,True,True,21951.00,39379.00,-17428.00,19.80,35.52,-15.72,True,88899.00,71471.00,17428.00,80.20,64.48,15.72,9.35,3.85,5.50
2026,2026-05-20,S1_S2,monthly,2026-05-20_S1_S2_49743b7c,S1,S2,54400.00,True,True,True,15467.00,30179.00,-14712.00,28.43,55.48,-27.05,True,38933.00,24221.00,14712.00,71.57,44.52,27.05,7.37,2.37,5.00
2026,2026-06-20,S1_S2,monthly,2026-06-20_S1_S2_ba82572f,S1,S2,65700.00,True,True,True,25075.00,31472.00,-6396.00,38.17,47.90,-9.73,True,40625.00,34228.00,6396.00,61.83,52.10,9.73,9.00,4.00,5.00
2026,2026-06-27,S1_S2,monthly,2026-06-27_S1_S2_be4e641a,S1,S2,33511.00,True,True,True,8001.00,16243.00,-8242.00,23.88,48.47,-24.59,True,25510.00,17268.00,8242.00,76.12,51.53,24.59,5.42,3.42,2.00
2026,2026-07-24,S1_S2,monthly,2026-07-24_S1_S2_63eb5228,S1,S2,34125.00,True,True,True,23757.00,27125.00,-3368.00,69.62,79.49,-9.87,True,10368.00,7000.00,3368.00,30.38,20.51,9.87,8.33,5.83,2.50
2026,2026-08-14,S1_S2,monthly,2026-08-14_S1_S2_72b4c1d7,S1,S2,21350.00,True,True,True,14134.00,23889.00,-9755.00,66.20,111.89,-45.69,True,7216.00,0.00,7216.00,33.80,0.00,33.80,8.08,3.08,5.00
2026,2026-04-21,S3_S4,biweekly,2026-04-21_S3_S4_ed1ed131,S3,S4,110850.00,True,True,True,31755.00,33205.00,-1450.00,28.65,29.96,-1.31,False,,,,,,,0.60,10.60,-10.00
2026,2026-05-08,S3_S4,biweekly,2026-05-08_S3_S4_989607cc,S3,S4,90350.00,True,True,True,23208.00,20390.00,2818.00,25.69,22.57,3.12,True,67142.00,69960.00,-2818.00,74.31,77.43,-3.12,1.00,5.50,-4.50
2026,2026-05-21,S3_S4,biweekly,2026-05-21_S3_S4_272f948e,S3,S4,59850.00,True,True,True,21498.00,19444.00,2054.00,35.92,32.49,3.43,False,,,,,,,0.55,4.80,-4.25
2026,2026-06-05,S3_S4,biweekly,2026-06-05_S3_S4_f5beba0a,S3,S4,53900.00,False,True,False,,22059.00,,,40.93,,False,,,,,,,1.18,6.68,-5.50
2026,2026-06-20,S3_S4,biweekly,2026-06-20_S3_S4_47159afc,S3,S4,65700.00,False,True,False,,15330.00,,,23.33,,False,,,,,,,1.25,1.75,-0.50
2026,2026-06-27,S3_S4,biweekly,2026-06-27_S3_S4_dc68d0eb,S3,S4,33511.00,False,False,False,,,,,,,False,,,,,,,0.92,1.92,-1.00
2026,2026-07-05,S3_S4,biweekly,2026-07-05_S3_S4_b3db7964,S3,S4,56650.00,False,True,False,,15299.00,,,27.01,,False,,,,,,,0.85,4.35,-3.50
2026,2026-07-24,S3_S4,biweekly,2026-07-24_S3_S4_d28f9731,S3,S4,34125.00,False,True,False,,22749.00,,,66.66,,False,,,,,,,2.58,14.83,-12.25
2026,2026-08-14,S3_S4,biweekly,2026-08-14_S3_S4_1912adab,S3,S4,21350.00,False,False,False,,,,,,,False,,,,,,,1.08,0.83,0.25
