year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,gallons_group,gallons_strip,event_duration_hours,avg_flow_gph_strip,baseline_vwc,peak_vwc,peak_increase,plateau_vwc,plateau_method,bottom_response_delay_hr,time_to_peak_hours,time_to_plateau_hours,lag_after_irrigation_hr,profile_baseline_storage_gal,profile_plateau_storage_gal,event_storage_gal,efficiency_strip,estimated_loss_gal_strip
2023.00,S1_S2,west,S2,2023-08-24_S1_S2_6cc99259,VWC_1_raw_S2_B,1,6.00,B,2023-08-24 13:47:00,2023-08-24 18:16:00,60250.00,30125.00,4.48,6719.33,9.20,39.13,29.93,30.19,flat_segment,5.72,5.72,17.22,12.73,6537.24,16757.13,10219.89,0.34,19905.11
2023.00,S1_S2,west,S2,2023-08-24_S1_S2_6cc99259,VWC_2_raw_S2_B,2,12.00,B,2023-08-24 13:47:00,2023-08-24 18:16:00,60250.00,30125.00,4.48,6719.33,8.24,35.49,27.25,29.01,flat_segment,5.97,5.97,15.97,11.48,6537.24,16757.13,10219.89,0.34,19905.11
2023.00,S1_S2,west,S2,2023-08-24_S1_S2_6cc99259,VWC_3_raw_S2_B,3,18.00,B,2023-08-24 13:47:00,2023-08-24 18:16:00,60250.00,30125.00,4.48,6719.33,18.68,39.73,21.05,33.40,fallback_window,5.97,5.97,9.97,5.48,6537.24,16757.13,10219.89,0.34,19905.11
2023.00,S1_S2,west,S2,2023-09-21_S1_S2_6dbb0789,VWC_1_raw_S2_B,1,6.00,B,2023-09-21 09:07:00,2023-09-21 16:09:00,75300.00,37650.00,7.03,5353.08,8.32,35.84,27.52,29.56,flat_segment,8.38,8.38,22.13,15.10,4184.94,16257.91,12072.97,0.32,25577.03
2023.00,S1_S2,west,S2,2023-09-21_S1_S2_6dbb0789,VWC_2_raw_S2_B,2,12.00,B,2023-09-21 09:07:00,2023-09-21 16:09:00,75300.00,37650.00,7.03,5353.08,6.98,34.00,27.01,28.87,flat_segment,8.38,8.38,20.88,13.85,4184.94,16257.91,12072.97,0.32,25577.03
2023.00,S1_S2,west,S2,2023-09-21_S1_S2_6dbb0789,VWC_3_raw_S2_B,3,18.00,B,2023-09-21 09:07:00,2023-09-21 16:09:00,75300.00,37650.00,7.03,5353.08,7.82,38.14,30.32,31.41,fallback_window,8.38,8.38,12.38,5.35,4184.94,16257.91,12072.97,0.32,25577.03
2023.00,S3_S4,east,S3,2023-05-24_S3_S4_31cada45,VWC_1_raw_S3_B,1,6.00,B,2023-05-24 09:25:00,2023-05-24 13:19:00,146600.00,73300.00,3.90,18794.87,6.27,27.96,21.70,27.92,flat_segment,15.33,15.33,15.58,11.68,3248.49,10819.45,7570.97,0.10,65729.03
2023.00,S3_S4,east,S3,2023-05-24_S3_S4_31cada45,VWC_2_raw_S3_B,2,12.00,B,2023-05-24 09:25:00,2023-05-24 13:19:00,146600.00,73300.00,3.90,18794.87,6.84,17.07,10.22,17.07,flat_segment,23.83,23.83,24.08,20.18,3248.49,10819.45,7570.97,0.10,65729.03
2023.00,S3_S4,east,S3,2023-05-24_S3_S4_31cada45,VWC_3_raw_S3_B,3,18.00,B,2023-05-24 09:25:00,2023-05-24 13:19:00,146600.00,73300.00,3.90,18794.87,4.84,14.82,9.98,14.80,flat_segment,8.83,8.83,9.08,5.18,3248.49,10819.45,7570.97,0.10,65729.03
2023.00,S3_S4,east,S3,2023-06-02_S3_S4_e824e1bc,VWC_1_raw_S3_B,1,6.00,B,2023-06-02 15:43:00,2023-06-02 22:12:00,67500.00,33750.00,6.48,5205.66,20.23,37.65,17.41,33.46,flat_segment,5.03,5.03,11.28,4.80,8569.67,14964.49,6394.81,0.19,27355.19
