year,strip_group,location,strip,event_id,irrigation_start,irrigation_end,gallons_strip,event_duration_hours,avg_flow_gph_strip,bottom_zone_storage_gal_0_18in,middle_zone_storage_gal_0_18in,top_zone_storage_gal_0_18in,n_zones_with_valid_storage,complete_three_zone_coverage,n_zones_with_storage,estimated_storage_gal_strip_0_18in,water_balance_residual_gal_strip,storage_exceeds_applied_water,unretained_gal_strip,estimated_storage_fraction_0_18in,unretained_fraction,whole_strip_storage_estimate_available
2024,S1_S2,west,S1,2024-08-10_S1_S2_de427086,2024-08-10 08:50:00,2024-08-10 20:38:00,84700.00,11.80,7177.97,,11135.86,12837.64,2,False,2,,,False,,,,False
2024,S1_S2,west,S1,2024-09-07_S1_S2_b15b9a0a,2024-09-07 08:23:00,2024-09-07 16:16:00,53000.00,7.88,6723.04,10485.67,8915.33,10899.61,3,True,3,30300.61,22699.39,False,22699.39,0.57,0.43,True
2024,S1_S2,west,S2,2024-04-20_S1_S2_5f2fb725,2024-04-20 10:11:00,2024-04-20 17:54:00,62950.00,7.72,8157.67,13733.18,14303.37,10552.53,3,True,3,38589.08,24360.92,False,24360.92,0.61,0.39,True
2024,S1_S2,west,S2,2024-06-01_S1_S2_ef46e32f,2024-06-01 18:05:00,2024-06-02 07:46:00,81250.00,13.68,5937.88,16436.29,16792.30,15204.67,3,True,3,48433.27,32816.73,False,32816.73,0.60,0.40,True
2024,S1_S2,west,S2,2024-06-22_S1_S2_e95bd875,2024-06-22 08:00:00,2024-06-22 15:49:00,47100.00,7.82,6025.59,13933.38,12580.75,13543.60,3,True,3,40057.73,7042.27,False,7042.27,0.85,0.15,True
2024,S1_S2,west,S2,2024-07-20_S1_S2_6d735351,2024-07-20 08:54:00,2024-07-20 17:43:00,55550.00,8.82,6300.57,15829.99,14944.59,,2,False,2,,,False,,,,False
2024,S1_S2,west,S2,2024-08-10_S1_S2_de427086,2024-08-10 08:50:00,2024-08-10 20:38:00,84700.00,11.80,7177.97,17024.70,13742.11,14092.80,3,True,3,44859.62,39840.38,False,39840.38,0.53,0.47,True
2024,S1_S2,west,S2,2024-09-07_S1_S2_b15b9a0a,2024-09-07 08:23:00,2024-09-07 16:16:00,53000.00,7.88,6723.04,13418.18,9620.11,11350.39,3,True,3,34388.67,18611.33,False,18611.33,0.65,0.35,True
2024,S3_S4,east,S3,2024-04-19_S3_S4_c5bf8374,2024-04-19 14:14:00,2024-04-19 21:33:00,54875.00,7.32,7500.00,9801.97,11247.65,11386.73,3,True,3,32436.34,22438.66,False,22438.66,0.59,0.41,True
2024,S3_S4,east,S3,2024-05-03_S3_S4_13e4749a,2024-05-03 08:37:00,2024-05-03 15:28:00,44600.00,6.85,6510.95,5039.71,8603.86,8553.76,3,True,3,22197.33,22402.67,False,22402.67,0.50,0.50,True
2024,S3_S4,east,S3,2024-05-17_S3_S4_09c73fc7,2024-05-17 13:31:00,2024-05-17 19:09:00,47550.00,5.63,8440.83,5532.37,7702.63,7953.19,3,True,3,21188.19,26361.81,False,26361.81,0.45,0.55,True
2024,S3_S4,east,S3,2024-06-01_S3_S4_0880f850,2024-06-01 08:29:00,2024-06-01 17:57:00,61450.00,9.47,6491.20,6622.56,9854.27,9655.04,3,True,3,26131.87,35318.13,False,35318.13,0.43,0.57,True
2024,S3_S4,east,S3,2024-06-15_S3_S4_b6aa9839,2024-06-15 07:29:00,2024-06-15 16:13:00,52500.00,8.73,6011.45,6552.03,8698.20,9243.54,3,True,3,24493.76,28006.24,False,28006.24,0.47,0.53,True
2024,S3_S4,east,S3,2024-06-28_S3_S4_14b9d993,2024-06-28 08:19:00,2024-06-28 14:44:00,39650.00,6.42,6179.22,6038.94,7077.42,7575.44,3,True,3,20691.79,18958.21,False,18958.21,0.52,0.48,True
