capacity_source,event_id,year,pair,strip,treatment,logger_position,represented_depth_count,profile_water_in,minimum_depth_vwc,maximum_depth_vwc
irrigation,2024-06-15_S3_S4_b6aa9839,2024.0,S3_S4,S4,control,M,3,6.2934,31.96,36.5
irrigation,2024-06-15_S3_S4_b6aa9839,2024.0,S3_S4,S4,control,T,3,6.6774000000000004,32.93,40.6
irrigation,2024-06-22_S1_S2_e95bd875,2024.0,S1_S2,S1,biochar,B,3,7.9206,41.99,47.44
irrigation,2024-06-22_S1_S2_e95bd875,2024.0,S1_S2,S1,biochar,M,3,6.776999999999999,35.22,40.26
irrigation,2024-06-22_S1_S2_e95bd875,2024.0,S1_S2,S1,biochar,T,3,7.848600000000001,42.44,45.53
irrigation,2024-06-22_S1_S2_e95bd875,2024.0,S1_S2,S2,control,B,3,5.4618,29.87,31.18
irrigation,2024-06-22_S1_S2_e95bd875,2024.0,S1_S2,S2,control,M,3,6.6372,34.45,39.17
irrigation,2024-06-22_S1_S2_e95bd875,2024.0,S1_S2,S2,control,T,3,6.8682,32.97,42.86
irrigation,2024-06-28_S3_S4_14b9d993,2024.0,S3_S4,S3,biochar,B,3,5.372999999999999,23.4,35.16
irrigation,2024-06-28_S3_S4_14b9d993,2024.0,S3_S4,S3,biochar,T,3,6.985799999999999,34.35,41.51
irrigation,2024-06-28_S3_S4_14b9d993,2024.0,S3_S4,S4,control,B,3,5.718,24.56,36.97
irrigation,2024-06-28_S3_S4_14b9d993,2024.0,S3_S4,S4,control,M,3,5.3508000000000004,27.05,31.76
irrigation,2024-06-28_S3_S4_14b9d993,2024.0,S3_S4,S4,control,T,3,6.573,34.33,40.15
irrigation,2024-07-11_S3_S4_d29231ea,2024.0,S3_S4,S3,biochar,B,3,5.334,22.61,35.33
irrigation,2024-07-11_S3_S4_d29231ea,2024.0,S3_S4,S3,biochar,T,3,7.209,36.77,42.86
irrigation,2024-07-11_S3_S4_d29231ea,2024.0,S3_S4,S4,control,M,3,5.4762,25.98,35.52
irrigation,2024-07-11_S3_S4_d29231ea,2024.0,S3_S4,S4,control,T,3,6.1332,33.31,35.57
irrigation,2024-07-20_S1_S2_6d735351,2024.0,S1_S2,S1,biochar,B,3,8.0364,40.33,47.16
irrigation,2024-07-20_S1_S2_6d735351,2024.0,S1_S2,S1,biochar,M,3,6.5898,34.76,38.39
irrigation,2024-07-20_S1_S2_6d735351,2024.0,S1_S2,S1,biochar,T,3,7.7178,41.26,45.31
irrigation,2024-07-20_S1_S2_6d735351,2024.0,S1_S2,S2,control,B,3,5.9436,31.11,34.73
irrigation,2024-07-20_S1_S2_6d735351,2024.0,S1_S2,S2,control,M,3,6.2082,34.42,34.58
irrigation,2024-07-26_S3_S4_fd133a4c,2024.0,S3_S4,S3,biochar,B,3,5.291399999999999,23.77,32.9
irrigation,2024-07-26_S3_S4_fd133a4c,2024.0,S3_S4,S3,biochar,M,3,6.226800000000001,32.67,35.96
irrigation,2024-07-26_S3_S4_fd133a4c,2024.0,S3_S4,S4,control,M,3,5.4845999999999995,27.79,35.37
irrigation,2024-07-26_S3_S4_fd133a4c,2024.0,S3_S4,S4,control,T,3,6.2322,32.8,36.21
irrigation,2024-08-09_S3_S4_fd100e26,2024.0,S3_S4,S3,biochar,B,3,5.2272,23.43,33.91
irrigation,2024-08-09_S3_S4_fd100e26,2024.0,S3_S4,S3,biochar,T,3,7.2666,36.94,43.68
irrigation,2024-08-09_S3_S4_fd100e26,2024.0,S3_S4,S4,control,M,3,5.186400000000001,25.84,31.25
irrigation,2024-08-09_S3_S4_fd100e26,2024.0,S3_S4,S4,control,T,3,6.390599999999999,34.77,36.3
irrigation,2024-08-10_S1_S2_de427086,2024.0,S1_S2,S1,biochar,M,3,6.759,36.82,38.46
irrigation,2024-08-10_S1_S2_de427086,2024.0,S1_S2,S1,biochar,T,3,7.4946,39.87,42.58
irrigation,2024-08-10_S1_S2_de427086,2024.0,S1_S2,S2,control,B,3,6.66,35.06,39.2
irrigation,2024-08-10_S1_S2_de427086,2024.0,S1_S2,S2,control,M,3,7.0374,37.24,41.66
irrigation,2024-08-10_S1_S2_de427086,2024.0,S1_S2,S2,control,T,3,7.1778,34.02,45.37
irrigation,2024-08-23_S3_S4_0b64e5f5,2024.0,S3_S4,S3,biochar,B,3,5.3202,24.08,33.6
irrigation,2024-08-23_S3_S4_0b64e5f5,2024.0,S3_S4,S3,biochar,T,3,7.2468,37.56,43.76
irrigation,2024-08-23_S3_S4_0b64e5f5,2024.0,S3_S4,S4,control,M,3,5.2794,27.19,32.23
irrigation,2024-08-23_S3_S4_0b64e5f5,2024.0,S3_S4,S4,control,T,3,6.57,35.74,37.58
irrigation,2024-09-06_S3_S4_9e0ce675,2024.0,S3_S4,S3,biochar,B,3,4.9956,22.99,30.59
irrigation,2024-09-06_S3_S4_9e0ce675,2024.0,S3_S4,S3,biochar,T,3,7.131600000000001,35.97,42.94
irrigation,2024-09-06_S3_S4_9e0ce675,2024.0,S3_S4,S4,control,M,3,5.4612,28.3,31.63
irrigation,2024-09-06_S3_S4_9e0ce675,2024.0,S3_S4,S4,control,T,3,6.009,32.04,34.9
irrigation,2024-09-07_S1_S2_b15b9a0a,2024.0,S1_S2,S1,biochar,B,3,8.0868,40.94,47.32
irrigation,2024-09-07_S1_S2_b15b9a0a,2024.0,S1_S2,S1,biochar,M,3,6.5382,35.27,38.22
irrigation,2024-09-07_S1_S2_b15b9a0a,2024.0,S1_S2,S1,biochar,T,3,7.3824000000000005,38.74,42.91
irrigation,2024-09-07_S1_S2_b15b9a0a,2024.0,S1_S2,S2,control,B,3,6.048,33.05,33.98
irrigation,2024-09-07_S1_S2_b15b9a0a,2024.0,S1_S2,S2,control,M,3,6.243,33.19,36.23
irrigation,2024-09-07_S1_S2_b15b9a0a,2024.0,S1_S2,S2,control,T,3,6.6642,31.08,40.72
irrigation,2024-09-20_S3_S4_032d9e33,2024.0,S3_S4,S3,biochar,B,3,4.674,20.09,29.51
irrigation,2024-09-20_S3_S4_032d9e33,2024.0,S3_S4,S3,biochar,M,3,5.694599999999999,30.52,33.79
irrigation,2024-09-20_S3_S4_032d9e33,2024.0,S3_S4,S3,biochar,T,3,6.9984,36.61,41.22
irrigation,2024-09-20_S3_S4_032d9e33,2024.0,S3_S4,S4,control,T,3,6.466200000000001,34.3,38.61
irrigation,2024-10-04_S3_S4_bf53dc9a,2024.0,S3_S4,S3,biochar,B,3,5.1701999999999995,23.01,33.55
irrigation,2024-10-04_S3_S4_bf53dc9a,2024.0,S3_S4,S3,biochar,T,3,7.0944,37.8,41.8
irrigation,2024-10-04_S3_S4_bf53dc9a,2024.0,S3_S4,S4,control,B,3,5.0928,27.61,29.53
irrigation,2024-10-04_S3_S4_bf53dc9a,2024.0,S3_S4,S4,control,M,3,4.9830000000000005,24.12,32.78
irrigation,2024-10-04_S3_S4_bf53dc9a,2024.0,S3_S4,S4,control,T,3,6.365400000000001,32.5,39.46
irrigation,2024-10-18_S3_S4_e3314155,2024.0,S3_S4,S3,biochar,B,3,5.3435999999999995,25.29,34.18
irrigation,2024-10-18_S3_S4_e3314155,2024.0,S3_S4,S3,biochar,T,3,7.0236,37.1,41.86
irrigation,2024-10-18_S3_S4_e3314155,2024.0,S3_S4,S4,control,M,3,4.9536,24.7,30.22
irrigation,2024-10-18_S3_S4_e3314155,2024.0,S3_S4,S4,control,T,3,5.970000000000001,31.72,34.46
irrigation,2025-04-20_S1_S2_f3457ada,2025.0,S1_S2,S1,biochar,B,3,5.629200000000001,29.68,33.03
irrigation,2025-04-20_S1_S2_f3457ada,2025.0,S1_S2,S1,biochar,M,3,7.235999999999999,38.66,42.46
irrigation,2025-04-20_S1_S2_f3457ada,2025.0,S1_S2,S1,biochar,T,3,7.8156,41.53,46.41
irrigation,2025-04-20_S1_S2_f3457ada,2025.0,S1_S2,S2,control,B,3,6.858600000000001,35.35,39.5
irrigation,2025-04-20_S1_S2_f3457ada,2025.0,S1_S2,S2,control,M,3,7.281,37.55,43.61
irrigation,2025-04-20_S3_S4_ead0e049,2025.0,S3_S4,S3,biochar,B,3,5.9772,30.91,35.4
irrigation,2025-04-20_S3_S4_ead0e049,2025.0,S3_S4,S3,biochar,T,3,7.1286000000000005,34.74,43.99
irrigation,2025-04-20_S3_S4_ead0e049,2025.0,S3_S4,S4,control,B,3,6.5736,34.48,38.94
irrigation,2025-04-20_S3_S4_ead0e049,2025.0,S3_S4,S4,control,M,3,6.3342,33.0,39.25
irrigation,2025-04-20_S3_S4_ead0e049,2025.0,S3_S4,S4,control,T,3,7.2678,38.26,43.03
irrigation,2025-05-02_S3_S4_3cb33cbf,2025.0,S3_S4,S3,biochar,B,3,5.8302,28.96,35.29
irrigation,2025-05-02_S3_S4_3cb33cbf,2025.0,S3_S4,S3,biochar,T,3,7.0409999999999995,33.66,43.41
