strip,treatment,pair,logger_position,depth_index,depth_inches,sensor_col,eligible_event_count,empirical_max_retained_vwc,retained_vwc_p90,retained_vwc_median,retained_vwc_sd,first_eligible_year,last_eligible_year,available_sources,highest_observed_source,highest_observed_event_id,highest_observed_timestamp,max_minus_p90_vwc,max_minus_p90_pct,max_p90_gap_review,adoption_classification,recommended_upper_retained_vwc,irrigation_source_event_count,precipitation_source_event_count,irrigation_source_max_vwc,precipitation_source_max_vwc,irrigation_source_p90_vwc,precipitation_source_p90_vwc,irrigation_source_median_vwc,precipitation_source_median_vwc,irrigation_source_sd_vwc,precipitation_source_sd_vwc,precip_minus_irrigation_p90_vwc,source_p90_absolute_difference_vwc,source_agreement_classification
S2,control,S1_S2,B,2,12.0,VWC_2_raw_S2_B,34,36.47,35.15,30.04,6.98,2023,2026,irrigation+precipitation,irrigation,2026-06-27_S1_S2_be4e641a,2026-06-27 19:30:12.000000000,1.32,3.62,False,supported,35.15,25,9,36.47,28.23,35.2,27.53,31.14,24.23,2.81,8.01,-7.67,7.67,divergent_over_5_vwc
S2,control,S1_S2,B,3,18.0,VWC_3_raw_S2_B,27,42.4,39.92,35.14,3.46,2023,2026,irrigation+precipitation,irrigation,2025-06-27_S1_S2_ff537961,2025-06-28 10:00:00.000000000,2.48,5.84,False,supported,39.92,25,2,42.4,37.81,40.06,37.53,35.14,36.39,3.57,2.02,-2.53,2.53,within_5_vwc
S2,control,S1_S2,M,1,6.0,VWC_1_raw_S2_M,32,41.66,40.15,37.44,5.08,2023,2026,irrigation+precipitation,irrigation,2024-08-10_S1_S2_de427086,2024-08-10 20:30:12.000000000,1.51,3.62,False,supported,40.15,25,7,41.66,32.42,40.24,31.57,38.27,30.53,2.36,4.66,-8.67,8.67,divergent_over_5_vwc
S2,control,S1_S2,M,2,12.0,VWC_2_raw_S2_M,29,42.03,38.33,34.58,3.87,2023,2026,irrigation+precipitation,irrigation,2025-06-27_S1_S2_ff537961,2025-06-28 08:45:00.000000000,3.7,8.79,False,supported,38.33,25,4,42.03,33.3,38.36,32.79,35.6,31.08,2.36,6.31,-5.58,5.58,divergent_over_5_vwc
S2,control,S1_S2,M,3,18.0,VWC_3_raw_S2_M,28,46.99,39.96,36.25,7.74,2023,2026,irrigation+precipitation,irrigation,2025-06-27_S1_S2_ff537961,2025-06-28 12:00:00.000000000,7.03,14.96,True,review_max_p90_gap,39.96,25,3,46.99,38.06,40.38,32.84,36.27,11.96,3.99,15.84,-7.54,7.54,divergent_over_5_vwc
S2,control,S1_S2,T,1,6.0,VWC_1_raw_S2_T,30,50.44,49.47,33.5,10.29,2023,2026,irrigation+precipitation,irrigation,2025-04-20_S1_S2_f3457ada,2025-04-21 08:30:00.000000000,0.97,1.93,False,supported,49.47,23,7,50.44,27.17,49.52,27.05,36.88,25.1,8.1,6.52,-22.46,22.46,divergent_over_5_vwc
S2,control,S1_S2,T,2,12.0,VWC_2_raw_S2_T,29,46.15,45.82,40.87,5.87,2023,2026,irrigation+precipitation,irrigation,2026-06-27_S1_S2_be4e641a,2026-06-27 18:15:12.000000000,0.33,0.71,False,supported,45.82,25,4,46.15,34.82,45.83,34.24,43.0,29.07,3.15,5.91,-11.59,11.59,divergent_over_5_vwc
S2,control,S1_S2,T,3,18.0,VWC_3_raw_S2_T,26,42.53,42.01,40.32,4.61,2023,2026,irrigation+precipitation,irrigation,2025-06-27_S1_S2_ff537961,2025-06-28 11:45:00.000000000,0.52,1.22,False,supported,42.01,22,4,42.53,38.03,42.13,37.15,40.62,30.02,1.86,7.03,-4.98,4.98,within_5_vwc
S3,biochar,S3_S4,B,1,6.0,VWC_1_raw_S3_B,61,37.13,35.4,31.52,4.63,2023,2026,irrigation+precipitation,irrigation,2025-06-13_S3_S4_29345c78,2025-06-13 23:59:48.000000000,1.73,4.66,False,supported,35.4,44,17,37.13,30.54,35.75,28.89,33.83,25.86,2.32,3.48,-6.86,6.86,divergent_over_5_vwc
S3,biochar,S3_S4,B,2,12.0,VWC_2_raw_S3_B,47,36.69,33.74,30.41,3.21,2023,2026,irrigation+precipitation,irrigation,2026-06-27_S3_S4_dc68d0eb,2026-06-28 02:15:12.000000000,2.95,8.05,False,supported,33.74,42,5,36.69,31.32,34.27,30.64,30.64,26.74,3.1,2.79,-3.63,3.63,within_5_vwc
S3,biochar,S3_S4,B,3,18.0,VWC_3_raw_S3_B,45,37.38,31.72,24.34,5.08,2023,2026,irrigation+precipitation,irrigation,2025-07-11_S3_S4_e179d57e,2025-07-12 00:15:00.000000000,5.66,15.15,True,review_max_p90_gap,31.72,41,4,37.38,29.82,32.02,28.4,24.11,25.08,5.07,5.57,-3.62,3.62,within_5_vwc
S3,biochar,S3_S4,M,1,6.0,VWC_1_raw_S3_M,19,39.37,37.68,35.96,7.74,2024,2026,irrigation+precipitation,irrigation,2026-06-27_S3_S4_dc68d0eb,2026-06-27 21:15:12.000000000,1.69,4.29,False,supported,37.68,11,8,39.37,33.04,37.88,26.61,37.14,22.86,1.16,4.68,-11.27,11.27,divergent_over_5_vwc
S3,biochar,S3_S4,M,2,12.0,VWC_2_raw_S3_M,14,37.41,36.89,34.75,3.62,2024,2026,irrigation+precipitation,irrigation,2026-04-21_S3_S4_ed1ed131,2026-04-22 11:00:00.000000000,0.52,1.4,False,supported,36.89,11,3,37.41,31.64,36.93,31.62,34.82,31.54,1.88,4.86,-5.31,5.31,divergent_over_5_vwc
S3,biochar,S3_S4,M,3,18.0,VWC_3_raw_S3_M,14,41.68,40.16,36.01,2.84,2024,2026,irrigation+precipitation,irrigation,2026-06-27_S3_S4_dc68d0eb,2026-06-28 03:15:12.000000000,1.52,3.65,False,supported,40.16,11,3,41.68,38.39,40.65,38.08,35.19,36.84,2.95,2.91,-2.57,2.57,within_5_vwc
S3,biochar,S3_S4,T,1,6.0,VWC_1_raw_S3_T,46,42.35,40.79,39.9,4.66,2023,2026,irrigation+precipitation,irrigation,2023-07-17_S3_S4_a04fe807,2023-07-18 06:14:48.000000000,1.56,3.68,False,supported,40.79,41,5,42.35,36.5,40.8,35.95,40.07,31.33,2.25,8.0,-4.85,4.85,within_5_vwc
S3,biochar,S3_S4,T,2,12.0,VWC_2_raw_S3_T,47,38.1,37.56,35.78,3.55,2023,2026,irrigation+precipitation,irrigation,2024-10-18_S3_S4_e3314155,2024-10-18 16:29:48.000000000,0.54,1.41,False,supported,37.56,41,6,38.1,37.57,37.56,34.77,35.92,28.19,2.8,4.47,-2.79,2.79,within_5_vwc
S3,biochar,S3_S4,T,3,18.0,VWC_3_raw_S3_T,51,55.34,47.5,42.94,3.52,2023,2026,irrigation+precipitation,irrigation,2026-07-24_S3_S4_d28f9731,2026-07-24 23:14:48.000000000,7.84,14.17,True,review_max_p90_gap,47.5,41,10,55.34,54.66,47.33,49.98,42.9,44.89,3.17,4.65,2.65,2.65,within_5_vwc
S4,control,S3_S4,B,1,6.0,VWC_1_raw_S4_B,40,45.53,42.08,34.32,8.19,2023,2026,irrigation+precipitation,irrigation,2025-06-28_S3_S4_d9252a87,2025-06-29 02:45:12.000000000,3.45,7.58,False,supported,42.08,25,15,45.53,41.88,43.17,39.58,38.88,32.21,8.84,6.72,-3.59,3.59,within_5_vwc
S4,control,S3_S4,B,2,12.0,VWC_2_raw_S4_B,41,41.28,39.17,35.79,4.19,2023,2026,irrigation+precipitation,precipitation,precip_20250912_1500_20250913_1500,2025-09-13 15:00:00.000000000,2.11,5.11,False,supported,39.17,29,12,40.81,41.28,39.09,41.03,36.14,35.12,4.16,4.43,1.94,1.94,within_2_vwc
S4,control,S3_S4,B,3,18.0,VWC_3_raw_S4_B,28,44.59,41.82,39.03,8.63,2023,2026,irrigation+precipitation,irrigation,2026-04-21_S3_S4_ed1ed131,2026-04-22 12:30:00.000000000,2.77,6.22,False,supported,41.82,23,5,44.59,43.16,41.53,42.33,38.94,39.16,9.2,3.75,0.8,0.8,within_2_vwc
S4,control,S3_S4,M,1,6.0,VWC_1_raw_S4_M,50,39.25,36.74,31.17,6.88,2023,2026,irrigation+precipitation,irrigation,2025-04-20_S3_S4_ead0e049,2025-04-21 00:45:00.000000000,2.51,6.39,False,supported,36.74,42,8,39.25,30.72,37.38,30.61,32.42,23.31,5.84,6.88,-6.77,6.77,divergent_over_5_vwc
S4,control,S3_S4,M,2,12.0,VWC_2_raw_S4_M,45,40.36,35.59,27.33,5.52,2023,2026,irrigation+precipitation,irrigation,2026-06-27_S3_S4_dc68d0eb,2026-06-27 23:00:12.000000000,4.77,11.82,True,review_max_p90_gap,35.59,41,4,40.36,29.38,36.43,28.77,27.33,24.74,5.1,7.54,-7.66,7.66,divergent_over_5_vwc
S4,control,S3_S4,M,3,18.0,VWC_3_raw_S4_M,46,39.87,37.19,29.87,5.79,2023,2026,irrigation+precipitation,irrigation,2026-06-27_S3_S4_dc68d0eb,2026-06-27 16:45:12.000000000,2.68,6.72,False,supported,37.19,41,5,39.87,37.54,36.84,35.99,29.35,31.91,5.46,8.9,-0.85,0.85,within_2_vwc
S4,control,S3_S4,T,1,6.0,VWC_1_raw_S4_T,53,41.85,39.04,34.84,6.58,2023,2026,irrigation+precipitation,irrigation,2025-06-13_S3_S4_29345c78,2025-06-13 12:59:48.000000000,2.81,6.71,False,supported,39.04,39,14,41.85,31.39,40.68,26.04,35.33,23.82,3.34,4.09,-14.64,14.64,divergent_over_5_vwc
S4,control,S3_S4,T,2,12.0,VWC_2_raw_S4_T,45,40.15,37.73,35.34,4.32,2023,2026,irrigation+precipitation,irrigation,2024-06-28_S3_S4_14b9d993,2024-06-28 14:14:48.000000000,2.42,6.03,False,supported,37.73,41,4,40.15,33.72,37.76,32.21,35.79,28.29,3.92,4.22,-5.55,5.55,divergent_over_5_vwc
S4,control,S3_S4,T,3,18.0,VWC_3_raw_S4_T,44,39.37,36.83,34.25,2.54,2023,2026,irrigation+precipitation,irrigation,2026-06-20_S3_S4_47159afc,2026-06-20 21:30:00.000000000,2.54,6.45,False,supported,36.83,39,5,39.37,34.51,37.32,34.37,34.33,31.09,2.43,2.38,-2.95,2.95,within_5_vwc
