year,event_id,strip,pair,treatment,irrigation_start,irrigation_end,applied_irrigation_gal_strip,comparison_eligible,ineligibility_reason,baseline_profile_water_gal_strip,upper_retained_water_gal_strip,available_storage_gal_strip,baseline_above_upper_retained_gal_strip,applied_minus_available_storage_gal_strip,estimated_water_not_retained_gal_strip,applied_fraction_of_available_storage,irrigation_exceeds_available_storage,zone_area_method,represented_profile,interpretation
2024,2024-06-01_S3_S4_0880f850,S4,S3_S4,control,2024-06-01 08:29:00,2024-06-01 17:57:00,61450.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-06-15_S3_S4_b6aa9839,S3,S3_S4,biochar,2024-06-15 07:29:00,2024-06-15 16:13:00,52500.0,False,one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-06-15_S3_S4_b6aa9839,S4,S3_S4,control,2024-06-15 07:29:00,2024-06-15 16:13:00,52500.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-06-22_S1_S2_e95bd875,S1,S1_S2,biochar,2024-06-22 08:00:00,2024-06-22 15:49:00,47100.0,True,,42087.13,76557.57,34470.44,0.0,12629.56,12629.56,1.37,True,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-06-22_S1_S2_e95bd875,S2,S1_S2,control,2024-06-22 08:00:00,2024-06-22 15:49:00,47100.0,True,,23576.02,74231.44,50655.42,0.0,-3555.42,0.0,0.93,False,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-06-28_S3_S4_14b9d993,S3,S3_S4,biochar,2024-06-28 08:19:00,2024-06-28 14:44:00,39650.0,False,one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-06-28_S3_S4_14b9d993,S4,S3_S4,control,2024-06-28 08:19:00,2024-06-28 14:44:00,39650.0,True,,39856.04,68363.11,28507.07,0.0,11142.93,11142.93,1.39,True,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-07-11_S3_S4_d29231ea,S3,S3_S4,biochar,2024-07-11 10:01:00,2024-07-11 17:39:00,46550.0,False,one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-07-11_S3_S4_d29231ea,S4,S3_S4,control,2024-07-11 10:01:00,2024-07-11 17:39:00,46550.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-07-20_S1_S2_6d735351,S1,S1_S2,biochar,2024-07-20 08:54:00,2024-07-20 17:43:00,55550.0,True,,32287.18,76557.57,44270.39,0.0,11279.61,11279.61,1.25,True,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
