capacity_source,event_id,year,pair,logger_position,biochar_profile_water_in,control_profile_water_in,biochar_minus_control_profile_water_in
irrigation,2026-08-14_S1_S2_72b4c1d7,2026.0,S1_S2,M,5.5,6.412,-0.911
irrigation,2026-08-14_S1_S2_72b4c1d7,2026.0,S1_S2,T,7.092,6.683,0.409
irrigation,2026-08-14_S3_S4_1912adab,2026.0,S3_S4,M,5.962,5.281,0.681
precipitation,precip_20250703_1730_20250703_1915,2025.0,S1_S2,B,5.453,5.299,0.154
precipitation,precip_20250703_1730_20250703_1915,2025.0,S3_S4,B,5.501,6.902,-1.401
precipitation,precip_20251010_0245_20251014_1030,2025.0,S1_S2,B,5.117,5.732,-0.614
precipitation,precip_20251010_0245_20251014_1030,2025.0,S1_S2,M,6.236,6.227,0.009
precipitation,precip_20251010_0245_20251014_1030,2025.0,S1_S2,T,6.523,5.873,0.65
precipitation,precip_20251010_0245_20251014_1030,2025.0,S3_S4,M,6.085,5.389,0.696
precipitation,precip_20251010_0245_20251014_1030,2025.0,S3_S4,T,7.076,5.956,1.12
