year,event_id,pair,biochar_strip,control_strip,irrigation_regime,flow_gph,bio_arrival_T_min,ctrl_arrival_T_min,diff_arrival_T_min,bio_top_to_middle_min,ctrl_top_to_middle_min,diff_top_to_middle_min,bio_middle_to_bottom_min,ctrl_middle_to_bottom_min,diff_middle_to_bottom_min,bio_top_to_bottom_min,ctrl_top_to_bottom_min,diff_top_to_bottom_min,bio_unretained_fraction,ctrl_unretained_fraction,diff_unretained_fraction,bio_unretained_gal_strip,ctrl_unretained_gal_strip,diff_unretained_gal_strip,bio_estimated_storage_fraction_0_18in,ctrl_estimated_storage_fraction_0_18in,diff_estimated_storage_fraction_0_18in,both_arrival_model_eligible,both_unretained_eligible
2025,2025-07-11_S3_S4_e179d57e,S3_S4,S3,S4,biweekly,4783.505154639176,150.0,30.0,120.0,-75.0,180.0,-255.0,90.0,45.0,45.0,15.0,225.0,-210.0,0.57,0.62,-0.050000000000000044,26379.9,28549.33,-2169.4300000000003,0.43,0.38,0.04999999999999999,True,True
2025,2025-07-26_S3_S4_b4053dcf,S3_S4,S3,S4,biweekly,5861.784140969163,180.0,45.0,135.0,-90.0,195.0,-285.0,120.0,225.0,-105.0,30.0,420.0,-390.0,0.5,0.56,-0.06000000000000005,26838.38,29629.27,-2790.8899999999994,0.5,0.44,0.06,True,True
2025,2025-08-08_S3_S4_7c793582,S3_S4,S3,S4,biweekly,6219.903691813804,151.0,46.0,105.0,-60.0,150.0,-210.0,105.0,210.0,-105.0,45.0,360.0,-315.0,,0.56,,,21761.72,,,0.44,,True,False
2025,2025-08-22_S3_S4_1b405e4b,S3_S4,S3,S4,biweekly,3077.8894472361812,428.0,248.0,180.0,-105.0,255.0,-360.0,120.0,,,15.0,,,0.36,,,11173.62,,,0.64,,,False,False
2025,2025-09-20_S3_S4_f86ee2c5,S3_S4,S3,S4,biweekly,12624.633431085043,198.0,33.0,165.0,-105.0,195.0,-300.0,90.0,-15.0,105.0,-15.0,180.0,-195.0,0.78,0.83,-0.04999999999999993,67392.68,71331.89,-3939.2100000000064,0.22,0.17,0.04999999999999999,False,True
2025,2025-10-04_S3_S4_4439230e,S3_S4,S3,S4,biweekly,7507.246376811594,228.0,33.0,195.0,-165.0,90.0,-255.0,60.0,390.0,-330.0,-105.0,480.0,-585.0,,0.69,,,35624.05,,,0.31,,False,False
2026,2026-04-21_S3_S4_ed1ed131,S3_S4,S3,S4,biweekly,6168.614357262104,81.0,21.0,60.0,-30.0,105.0,-135.0,45.0,570.0,-525.0,15.0,675.0,-660.0,0.72,0.67,0.04999999999999993,79938.46,73711.73,6226.7300000000105,0.28,0.34,-0.06,False,False
2026,2026-05-08_S3_S4_989607cc,S3_S4,S3,S4,biweekly,8831.86705767351,135.0,30.0,105.0,-60.0,60.0,-120.0,45.0,300.0,-255.0,-15.0,360.0,-375.0,0.75,0.75,0.0,67772.43,67667.37,105.05999999999767,0.25,0.25,0.0,False,True
2026,2026-05-21_S3_S4_272f948e,S3_S4,S3,S4,biweekly,9279.06976744186,93.0,18.0,75.0,-45.0,45.0,-90.0,45.0,285.0,-240.0,0.0,330.0,-330.0,0.65,0.64,0.010000000000000009,38943.93,38055.85,888.0800000000017,0.35,0.36,-0.010000000000000009,False,False
2026,2026-06-05_S3_S4_f5beba0a,S3_S4,S3,S4,biweekly,8330.757341576507,176.0,26.0,150.0,-105.0,45.0,-150.0,60.0,375.0,-315.0,-45.0,420.0,-465.0,,0.54,,,29211.46,,,0.46,,False,False
2026,2026-06-20_S3_S4_47159afc,S3_S4,S3,S4,biweekly,7259.668508287292,225.0,30.0,195.0,-150.0,45.0,-195.0,60.0,90.0,-30.0,-90.0,135.0,-225.0,,0.74,,,48887.93,,,0.26,,False,False
2026,2026-06-27_S3_S4_dc68d0eb,S3_S4,S3,S4,biweekly,6115.145985401459,190.0,25.0,165.0,-120.0,60.0,-180.0,45.0,90.0,-45.0,-75.0,150.0,-225.0,,,,,,,,,,False,False
2026,2026-07-05_S3_S4_b3db7964,S3_S4,S3,S4,biweekly,8306.451612903225,291.0,21.0,270.0,-225.0,45.0,-270.0,45.0,255.0,-210.0,-180.0,300.0,-480.0,,0.7,,,39429.08,,,0.3,,False,False
2026,2026-07-24_S3_S4_d28f9731,S3_S4,S3,S4,biweekly,4674.657534246576,305.0,35.0,270.0,-165.0,105.0,-270.0,75.0,810.0,-735.0,-90.0,915.0,-1005.0,0.34,0.26,0.08000000000000002,11759.68,8868.33,2891.3500000000004,0.66,0.74,-0.07999999999999996,False,False
2026,2026-08-14_S3_S4_1912adab,S3_S4,S3,S4,biweekly,6335.311572700297,,35.0,,,60.0,,45.0,15.0,30.0,,75.0,,,,,,,,,,,False,False
