leaf,table,frame_len,request_mode,n_hint,signed16_be@20,signed16_be@22,anchor_off,anchor_sec_le,anchor_iso,tcp_stream,frame_number,src_file,frame_hex
S2T,1,245,,,,,,,,0,144,S2T_Table1.tsv,bdaffd00011ffd2005899a0000020000fc6c000542ff324041548f323db637a53e2124bb41be9ebf3e2af2533e935d2441b99e093eadd3d13f78042541bb270342ff35c441545f0e3db606b63e21fd6f41c01f643e2b004d3e93309341b9aad53ead94073f780f8041bb209642ff39484154401c3db752c43e228afd41c17fd53e2b03cc3e9318fd41b9b0d73ead91693f781fad41baf5fc42ff3ccc41545b9e3db6fb633e23912241c2dbab3e2b004d3e9326f741b9d92b3ead88ac3f783e4341baf30242ff405041544a6c3db6bcdc793e244de141c3fd1c3e2af2523e935fc541b9eb3c3ead852d3f78470041bae6e5017d42bd
S2T,1,31,last_n,911,-911,0,,,,0,145,S2T_Table1.tsv,bda0016ffd10050ffd099b00000600022c790000fc710000fe410000ec1cbd
S2T,1,31,last_n,906,-906,0,,,,0,148,S2T_Table1.tsv,bda0016ffd10050ffd099c00000600022c790000fc760000fe4100008e6fbd
S2T,1,246,,,,,,,,0,150,S2T_Table1.tsv,bdaffd00011ffd2005899c0000020000fc76000542ff5568415375403db81d7d3e2771ca41c9bf8e3e2a33d53e92fb4641bb1d363eacec413f78df0941ba825542ff58ec4153564d3db8c8c13e27b7b141cada0c3e2a25da3e9336b241bb71ff3eace8c43f78e91741ba855642ff5c704153451d3db8785f3e2895a441cbf5dd3e2a29573e9326f741bbb5243eacd04c3f7935fc41ba897742ff5ff4415341ac3db866e63e28d80d41cd0b793e2a17de3e93650141bcdc06f03eacca2d3f795d4f41ba794642ff63784153609f3db907ad3e29b44041cdcc863e2a08233e93989041bcdc4b953eacbfb23f797b0441ba8cd50125d3bd
S2T,1,31,last_n,901,-901,0,,,,0,151,S2T_Table1.tsv,bda0016ffd10050ffd099d00000600022c790000fc7b0000fe410000b9efbd
S2T,1,31,last_n,896,-896,0,,,,0,154,S2T_Table1.tsv,bda0016ffd10050ffd099e00000600022c790000fc800000fe41000011fbbd
S2T,1,31,last_n,891,-891,0,,,,0,157,S2T_Table1.tsv,bda0016ffd10050ffd099f00000600022c790000fc850000fe410000566fbd
S2T,1,246,,,,,,,,0,159,S2T_Table1.tsv,bdaffd00011ffd2005899f0000020000fc85000542ff8a2441551f9a3db92a9f3e2b383a41cd9cda3e2b2dbcdd3e95b11541bff3ed3eace4653f7db45d41bb06fa42ff8da841553b1c3db946953e2aed1341cd426c3e2b10093e96175241c037343eacd4aa3f7de62b41bb136442ff912c4155343c3db93f993e2af25141cce1dd3e2b03cc3e964a0041c077d53eacdc873f7e38bf41bb264242ff94b04154bf553db93c1a3e2afcce41cc99643e2af5d03e96777041c0bcdc453ead21903f7e685d41bb3e0042ff983441542eeb3db9660c3e2a6bc041cc40863e2af5d03e968e2941c0f3e13eacca2d3f7eae4641bb44c201c35abd
S2T,1,31,last_n,886,-886,0,,,,0,160,S2T_Table1.tsv,bda0016ffd10050ffd09a000000600022c790000fc8a0000fe4100002b10bd
S2T,1,245,,,,,,,,0,162,S2T_Table1.tsv,bdaffd00011ffd200589a00000020000fc8a000542ff9bb84153a1f33db874df3e2a3e4f41cbaa613e2bb98c3e96cdf241c11cbb3eacca2d3f7ee7f241bb65f242ff9f3c41532d0b3db805063e29e1b041cb27b53e2ba8133e970b1d41c153ea3eaceb633f7f290b41bb817342ffa2c04152c2753db81a003e29a80441ca9ea03e2bab913e9714ba41c170503ead04ba3f7f719141bb93fd42ffa6444152659e3db835f73e2949a641ca0f6d3e2bb7ce3e96da2f41c1a4853ead34c93f7fb70a41bbbcdd6942ffa9c841522b2c3db85c6a3e28cf5041c9917c3e2bb44f3e96f54441c1b22c3ead93273f7fe24b41bbdbff01f1cbbd
S2T,1,31,last_n,881,-881,0,,,,0,163,S2T_Table1.tsv,bda0016ffd10050ffd09a100000600022c790000fc8f0000fe410000663fbd
S2T,1,31,last_n,876,-876,0,,,,0,166,S2T_Table1.tsv,bda0016ffd10050ffd09a200000600022c790000fc940000fe4100007333bd
S2T,1,31,last_n,871,-871,0,,,,0,169,S2T_Table1.tsv,bda0016ffd10050ffd09a300000600022c790000fc990000fe4100002dc2bd
S2T,1,31,last_n,866,-866,0,,,,0,172,S2T_Table1.tsv,bda0016ffd10050ffd09a400000600022c790000fc9e0000fe410000835fbd
S2T,1,31,last_n,861,-861,0,,,,0,175,S2T_Table1.tsv,bda0016ffd10050ffd09a500000600022c790000fca30000fe410000959dbd
S2T,1,31,last_n,856,-856,0,,,,0,178,S2T_Table1.tsv,bda0016ffd10050ffd09a600000600022c790000fca80000fe4100008f79bd
S2T,1,31,last_n,851,-851,0,,,,0,181,S2T_Table1.tsv,bda0016ffd10050ffd09a700000600022c790000fcad0000fe41000041e8bd
S2T,1,31,last_n,846,-846,0,,,,0,184,S2T_Table1.tsv,bda0016ffd10050ffd09a800000600022c790000fcb20000fe4100000e94bd
S2T,1,31,last_n,841,-841,0,,,,0,187,S2T_Table1.tsv,bda0016ffd10050ffd09a900000600022c790000fcb70000fe4100004880bd
S2T,1,31,last_n,831,-831,0,,,,0,193,S2T_Table1.tsv,bda0016ffd10050ffd09ab00000600022c790000fcc10000fe410000b021bd
S2T,1,31,last_n,826,-826,0,,,,0,196,S2T_Table1.tsv,bda0016ffd10050ffd09ac00000600022c790000fcc60000fe41000037adbd
S2T,1,31,last_n,821,-821,0,,,,0,199,S2T_Table1.tsv,bda0016ffd10050ffd09ad00000600022c790000fccb0000fe4100009ecfbd
S2T,1,31,last_n,816,-816,0,,,,0,202,S2T_Table1.tsv,bda0016ffd10050ffd09ae00000600022c790000fcd00000fe4100002f75bd
S2T,1,31,last_n,811,-811,0,,,,0,205,S2T_Table1.tsv,bda0016ffd10050ffd09af00000600022c790000fcd50000fe410000a3b4bd
S2T,1,246,,,,,,,,0,207,S2T_Table1.tsv,bdaffd00011ffd200589af0000020000fcd500054300a3644155569e3db779343e26c84341c8ffc93e29dc723e943db541bcddc42c3eace8c33f83783b41bbc3d94300a6e841555a0e3db7723a3e26db7e41c933e13e29e1b13e942edc41bcddf28c3eacd58a3f83923941bbc42f4300aa6c4155532e3db75d3f3e2718a741c94dc53e29d3b63e945d2c41be2bf33eacc78d3f83ad5141bbc3dc4300adf041551f9a3db752c43e27365f41c95ede3e29d5743e944d7141be64393eacc0913f83ba3541bbd22f4300b174415500a93db74bc63e27541341c9a1da3e29dab23e94421541be869c3eaca8193f83e26641bbcdff015b2dbd
S2T,1,31,last_n,806,-806,0,,,,0,208,S2T_Table1.tsv,bda0016ffd10050ffd09b000000600022c790000fcda0000fe410000b3a9bd
S2T,1,245,,,,,,,,0,210,S2T_Table1.tsv,bdaffd00011ffd200589b00000020000fcda00054300b4f8415504193db744c93e2755d441c9bbb93e29caf73e94810041beb3e23eaca1fc3f83eeda41bbd6b04300b87c4155343c3db725543e27beaf41c9fa7e3e29d0353e946c0741bee3163eac8ec23f840a9941bbc73c4300bcdc00415541fd3db71e593e27dfe341ca3f023e29c3fb3e9497b741bf19f13eaceee13f842d5541bbcb5e4300bf84415560ee3db7175a3e27ea6041ca60ee3e29c9393e9482be41bf48053eacdd693f844b7a41bbd3af4300c308415586c13db702613e282b0a41ca6e403e29a8053e94f8b541bf74f03eaccccc3f84681841bbef3201d10ebd
S2T,1,31,last_n,796,-796,0,,,,0,214,S2T_Table1.tsv,bda0016ffd10050ffd09b200000600022c790000fce40000fe410000d1edbd
S2T,1,31,last_n,791,-791,0,,,,0,217,S2T_Table1.tsv,bda0016ffd10050ffd09b300000600022c790000fce90000fe410000346dbd
S2T,1,31,last_n,786,-786,0,,,,0,220,S2T_Table1.tsv,bda0016ffd10050ffd09b400000600022c790000fcee0000fe410000901bbd
S2T,1,31,last_n,781,-781,0,,,,0,223,S2T_Table1.tsv,bda0016ffd10050ffd09b500000600022c790000fcf30000fe4100000c2bbd
S2T,1,31,last_n,776,-776,0,,,,0,226,S2T_Table1.tsv,bda0016ffd10050ffd09b600000600022c790000fcf80000fe4100004e5dbd
S2T,1,31,last_n,771,-771,0,,,,0,229,S2T_Table1.tsv,bda0016ffd10050ffd09b700000600022c790000fcfd0000fe410000c729bd
S2T,1,31,last_n,766,-766,0,,,,0,232,S2T_Table1.tsv,bda0016ffd10050ffd09b800000600022c790000fd020000fe4100004f3ebd
S2T,1,31,last_n,761,-761,0,,,,0,235,S2T_Table1.tsv,bda0016ffd10050ffd09b900000600022c790000fd070000fe41000067fdbd
S2T,1,31,last_n,756,-756,0,,,,0,238,S2T_Table1.tsv,bda0016ffd10050ffd09ba00000600022c790000fd0c0000fe41000038cabd
S2T,1,31,last_n,751,-751,0,,,,0,241,S2T_Table1.tsv,bda0016ffd10050ffd09bb00000600022c790000fd110000fe410000ee4fbd
S2T,1,31,last_n,736,-736,0,,,,0,250,S2T_Table1.tsv,bda0016ffd10050ffd09be00000600022c790000fd200000fe4100004ae5bd
S2T,1,31,last_n,731,-731,0,,,,0,253,S2T_Table1.tsv,bda0016ffd10050ffd09bf00000600022c790000fd250000fe4100001b24bd
S2T,1,31,last_n,726,-726,0,,,,0,256,S2T_Table1.tsv,bda0016ffd10050ffd09c000000600022c790000fd2a0000fe4100008885bd
S2T,1,31,last_n,721,-721,0,,,,0,259,S2T_Table1.tsv,bda0016ffd10050ffd09c100000600022c790000fd2f0000fe410000b554bd
S2T,1,31,last_n,716,-716,0,,,,0,262,S2T_Table1.tsv,bda0016ffd10050ffd09c200000600022c790000fd340000fe4100008abbbd
S2T,1,31,last_n,711,-711,0,,,,0,265,S2T_Table1.tsv,bda0016ffd10050ffd09c300000600022c790000fd390000fe410000395dbd
S2T,1,31,last_n,706,-706,0,,,,0,268,S2T_Table1.tsv,bda0016ffd10050ffd09c400000600022c790000fd3e0000fe410000a672bd
S2T,1,31,last_n,701,-701,0,,,,0,271,S2T_Table1.tsv,bda0016ffd10050ffd09c500000600022c790000fd430000fe4100001d3dbd
