frame.number	tcp.stream	ip.src	ip.dst	tcp.payload
30	0			bdaffd00011ffd200389160000020000ff6800054307813441520fa93e117bac3e0ba03541c661fd3e224c133e52934c41b9b55f3eb6cd123fa9184741b59c6a430784b841525b4e3e116bf13e0c11ce41c6f3b73e2243563e52f8a641b9f8643eb6a5bf3fa955a941b59f604307883c41529ca23e1164f33e0c623241c7a0f53e22355e3e53570641ba3ed43eb701803fa95fb541b5c07c43078bc041531f4b3e118d253e0ca11c41c8165d3e2229203e53be2241ba8d9b3eb703403fa97e8241b5bcdc5d43078f444151abf33e121ab43e0ccccd41c89b653e22adf23e5436ba41bae8743eb6e4aa3fa9b90e41b5c740015606bd
31	0			bda0016ffd10030ffd091700000600022c790000ff6d0000ffb700007644bd
32	0			
33	0			bdaffd00011ffd200389170000020000ff6d0005430792c84150e4873e1213b73e0cee0241c8ff673e22d7e23e54935a41bb2bee3eb7422a3fa9db2241b5db8f4307964c41506c2f3e120e7b3e0d2b2c41c958063e22cf253e550bee41bb6ea33eb72e123faa046d41b5e616430799d0414fd8563e12093c3e0d5a5c41c9c2f03e22c6693e55475a41bbc1f23eb77cb53faa3d7141b5fb8043079d54414faba43e12077c3e0d615a41c9f7d93e22c4ab3e55aaf941bcdc11ea3eb75f003faa68b241b61bd04307a0d8414f4ecd3e11febe3e0da74141ca1fc53e2378ac3e56095641bcdc501e3eb7b4a23faaa3e441b61812017b43bd
34	0			bda0016ffd10030ffd091800000600022c790000ff720000ffb700009ec7bd
35	0			
36	0			bdaffd00011ffd200389180000020000ff7200054307a45c414f221a3e1205bcdd3e0d6a1641ca551a3e2371ae3e564d8041bcdc8d313eb798ac3faad85341b641704307a7e0414ef5673e1205bcdd3e0d6bd541ca645a3e2368f13e569de441bcdcd71e3eb7f38c3faaf0c941b6573c4307ab64414ead333e12077d3e0d711341ca68f13e2360353e56e58a41bcdd1b073eb7da343fab21f241b6712e4307aee8414e762f3e1205bcdd3e0d765341ca58903e2353fa3e573cec41bcdd5fbcdd3eb7d9553fab53f741b68bdd4307b26c414e79a03e120cba3e0d519f41ca3de43e23b9553e5782d241bcdd8a023eb819ff3fab7ada41b6a99d018598bd
37	0			bda0016ffd10030ffd091900000600022c790000ff770000ffb700008d66bd
38	0			
39	0			bdaffd00011ffd200389190000020000ff7700054307b5f0414e53ce3e12093b3e0d4aa141ca0f0c3e240ef73e57c37d41bcddc3613eb816813fab8d6c41b6b3034307b974414e3f2c3e120e7a3e0d27ae41c9ed943e2409b93e57f62c41bcddf6b53eb85e263fabcf2c41b6dc654307bcdcf8414cbe143e1215763e0cee0141c9bf293e2400fc3e583dd241be1bb73eb835153fac07c241b6f6504307c07c414dd8053e11f6023e0ccb0d41c97c313e23f4bf3e589c3341be57023eb88e363fac269041b70fe44307c400414da4733e11553b3e0cc78f41c933dc3e23f4bf3e58af6c41be722e3eb8803b3fac551741b7285c016e76bd
40	0			bda0016ffd10030ffd091a00000600022c790000ff7c0000ffb700004c20bd
41	0			
42	0			bdaffd00011ffd2003891a0000020000ff7c00054307c784414dbff43e1161753e0c71ed41c8db493e23ea433e58ead641be9a363eb8b9063fac6f4d41b73ef44307cb08414d8c613e116bf13e0c2c0541c8867d3e23ec023e591d8541beb1343eb8c5433faca38341b763664307ce8c414d70e03e11712f3e0bed1b41c82e543e23e3463e5937bcdc41beceb23eb8cc413facbcddba41b788a14307d210414d668e3e11766d3e0bbcdc2c41c7cb233e23da893e596a6a41bec7273eb919253face03f41b79b744307d594414d39dc3e11766e3e0ba8f341c763653e2499063e59945a41bedcae3eb900af3fad064041b7c11d01d380bd
43	0			bda0016ffd10030ffd091b00000600022c790000ff810000ffb70000c482bd
44	0			
