logger_tag,year,file_path,file_kind,kind,severity,start,end,details,min_v,max_v,gap_minutes,voltage_col,plot_path
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-23 19:45:00,2023-05-24 08:15:00,S3M_Table1.dat,,,750.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-24 19:45:00,2023-05-25 07:45:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-25 19:45:00,2023-05-26 07:45:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-26 19:30:00,2023-05-27 08:00:00,S3M_Table1.dat,,,750.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-27 19:45:00,2023-05-28 08:00:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-28 19:45:00,2023-05-29 08:00:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-29 20:00:00,2023-05-30 08:15:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-30 20:15:00,2023-05-31 09:30:00,S3M_Table1.dat,,,795.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-05-31 19:45:00,2023-06-01 07:45:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-01 19:45:00,2023-06-02 08:45:00,S3M_Table1.dat,,,780.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-02 19:30:00,2023-06-03 08:00:00,S3M_Table1.dat,,,750.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-03 20:00:00,2023-06-04 08:00:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-04 19:30:00,2023-06-05 08:00:00,S3M_Table1.dat,,,750.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-05 20:00:00,2023-06-06 07:45:00,S3M_Table1.dat,,,705.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-06 16:30:00,2023-06-07 07:30:00,S3M_Table1.dat,,,900.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-07 19:45:00,2023-06-08 08:00:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-08 19:45:00,2023-06-09 08:00:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-09 20:00:00,2023-06-10 07:45:00,S3M_Table1.dat,,,705.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-10 20:00:00,2023-06-11 07:30:00,S3M_Table1.dat,,,690.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-11 20:00:00,2023-06-12 07:30:00,S3M_Table1.dat,,,690.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-12 20:00:00,2023-06-13 07:45:00,S3M_Table1.dat,,,705.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-13 20:00:00,2023-06-14 07:45:00,S3M_Table1.dat,,,705.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-14 17:45:00,2023-06-15 07:45:00,S3M_Table1.dat,,,840.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-15 17:30:00,2023-06-16 07:45:00,S3M_Table1.dat,,,855.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-16 20:00:00,2023-06-17 08:00:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-17 20:00:00,2023-06-18 07:45:00,S3M_Table1.dat,,,705.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-18 19:45:00,2023-06-19 07:45:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-19 20:00:00,2023-06-20 07:30:00,S3M_Table1.dat,,,690.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-20 20:00:00,2023-06-21 07:45:00,S3M_Table1.dat,,,705.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-21 20:15:00,2023-06-22 07:45:00,S3M_Table1.dat,,,690.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-22 20:00:00,2023-06-23 07:45:00,S3M_Table1.dat,,,705.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-23 20:00:00,2023-06-24 07:45:00,S3M_Table1.dat,,,705.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-24 20:00:00,2023-06-25 07:45:00,S3M_Table1.dat,,,705.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-25 20:00:00,2023-06-26 07:45:00,S3M_Table1.dat,,,705.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-26 20:00:00,2023-06-27 08:00:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-27 20:00:00,2023-06-28 07:45:00,S3M_Table1.dat,,,705.0,,
