logger_tag,year,file,file_row_idx,prev_time,time,gap_min,event_type,event_class
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,416,2023-05-18 19:30:00,2023-05-19 07:45:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,465,2023-05-19 19:45:00,2023-05-20 07:45:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,514,2023-05-20 19:45:00,2023-05-21 07:45:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,563,2023-05-21 19:45:00,2023-05-22 07:45:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,612,2023-05-22 19:45:00,2023-05-23 07:45:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,661,2023-05-23 19:45:00,2023-05-24 08:15:00,750.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,708,2023-05-24 19:45:00,2023-05-25 07:45:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,757,2023-05-25 19:45:00,2023-05-26 07:45:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,805,2023-05-26 19:30:00,2023-05-27 08:00:00,750.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,852,2023-05-27 19:45:00,2023-05-28 08:00:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,900,2023-05-28 19:45:00,2023-05-29 08:00:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,949,2023-05-29 20:00:00,2023-05-30 08:15:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,998,2023-05-30 20:15:00,2023-05-31 09:30:00,795.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1040,2023-05-31 19:45:00,2023-06-01 07:45:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1089,2023-06-01 19:45:00,2023-06-02 08:45:00,780.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1133,2023-06-02 19:30:00,2023-06-03 08:00:00,750.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1182,2023-06-03 20:00:00,2023-06-04 08:00:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1229,2023-06-04 19:30:00,2023-06-05 08:00:00,750.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1278,2023-06-05 20:00:00,2023-06-06 07:45:00,705.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1314,2023-06-06 16:30:00,2023-06-07 07:30:00,900.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1364,2023-06-07 19:45:00,2023-06-08 08:00:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1412,2023-06-08 19:45:00,2023-06-09 08:00:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1461,2023-06-09 20:00:00,2023-06-10 07:45:00,705.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1511,2023-06-10 20:00:00,2023-06-11 07:30:00,690.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1562,2023-06-11 20:00:00,2023-06-12 07:30:00,690.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1613,2023-06-12 20:00:00,2023-06-13 07:45:00,705.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1663,2023-06-13 20:00:00,2023-06-14 07:45:00,705.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1704,2023-06-14 17:45:00,2023-06-15 07:45:00,840.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1744,2023-06-15 17:30:00,2023-06-16 07:45:00,855.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1794,2023-06-16 20:00:00,2023-06-17 08:00:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1843,2023-06-17 20:00:00,2023-06-18 07:45:00,705.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1892,2023-06-18 19:45:00,2023-06-19 07:45:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1942,2023-06-19 20:00:00,2023-06-20 07:30:00,690.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,1993,2023-06-20 20:00:00,2023-06-21 07:45:00,705.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2044,2023-06-21 20:15:00,2023-06-22 07:45:00,690.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2094,2023-06-22 20:00:00,2023-06-23 07:45:00,705.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2144,2023-06-23 20:00:00,2023-06-24 07:45:00,705.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2194,2023-06-24 20:00:00,2023-06-25 07:45:00,705.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2244,2023-06-25 20:00:00,2023-06-26 07:45:00,705.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2294,2023-06-26 20:00:00,2023-06-27 08:00:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2343,2023-06-27 20:00:00,2023-06-28 07:45:00,705.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2392,2023-06-28 19:45:00,2023-06-29 08:00:00,735.0,downtime_gap,downtime
