year,event_id,strip,logger_position,arrival_6in_min,arrival_12in_min,arrival_18in_min,arrival_order,expected_order,order_class,alt_arrival_6in_min,alt_arrival_12in_min,alt_arrival_18in_min,alt_arrival_order,alt_expected_order,alt_order_class,alt_before_start_depths,any_alt_before_start,all_alt_before_start,arrival_6in_T_min,arrival_6in_M_min,arrival_6in_B_min,arrival_6in_logger_order_class,alt_arrival_6in_T_min,alt_arrival_6in_M_min,alt_arrival_6in_B_min,alt_arrival_6in_logger_order_class,arrival_12in_T_min,arrival_12in_M_min,arrival_12in_B_min,arrival_12in_logger_order_class,alt_arrival_12in_T_min,alt_arrival_12in_M_min,alt_arrival_12in_B_min,alt_arrival_12in_logger_order_class,arrival_18in_T_min,arrival_18in_M_min,arrival_18in_B_min,arrival_18in_logger_order_class,alt_arrival_18in_T_min,alt_arrival_18in_M_min,alt_arrival_18in_B_min,alt_arrival_18in_logger_order_class,any_bottom_before_top_or_middle,any_alt_bottom_before_top_or_middle,any_all_loggers_before_start
2024,2024-06-22_S1_S2_e95bd875,S2,T,15.0,15.0,15.0,6→12→18,True,expected,15.0,15.0,15.0,6→12→18,True,expected,,False,False,15.0,120.0,345.0,expected,15.0,120.0,345.0,expected,15.0,135.0,300.0,expected,15.0,135.0,300.0,expected,15.0,135.0,315.0,expected,15.0,135.0,315.0,expected,False,False,False
2024,2024-06-28_S3_S4_14b9d993,S3,B,11.0,11.0,11.0,6→12→18,True,expected,-34.0,-34.0,-19.0,6→12→18,True,expected,"6,12,18",True,True,206.0,71.0,11.0,bottom_before_top_or_middle,206.0,71.0,-34.0,bottom_before_top_or_middle,206.0,71.0,11.0,bottom_before_top_or_middle,206.0,71.0,-34.0,bottom_before_top_or_middle,236.0,71.0,11.0,bottom_before_top_or_middle,251.0,86.0,-19.0,bottom_before_top_or_middle,True,True,False
2024,2024-06-28_S3_S4_14b9d993,S3,M,71.0,71.0,71.0,6→12→18,True,expected,71.0,71.0,86.0,6→12→18,True,expected,,False,False,206.0,71.0,11.0,bottom_before_top_or_middle,206.0,71.0,-34.0,bottom_before_top_or_middle,206.0,71.0,11.0,bottom_before_top_or_middle,206.0,71.0,-34.0,bottom_before_top_or_middle,236.0,71.0,11.0,bottom_before_top_or_middle,251.0,86.0,-19.0,bottom_before_top_or_middle,True,True,False
2024,2024-06-28_S3_S4_14b9d993,S3,T,206.0,206.0,236.0,6→12→18,True,expected,206.0,206.0,251.0,6→12→18,True,expected,,False,False,206.0,71.0,11.0,bottom_before_top_or_middle,206.0,71.0,-34.0,bottom_before_top_or_middle,206.0,71.0,11.0,bottom_before_top_or_middle,206.0,71.0,-34.0,bottom_before_top_or_middle,236.0,71.0,11.0,bottom_before_top_or_middle,251.0,86.0,-19.0,bottom_before_top_or_middle,True,True,False
2024,2024-06-28_S3_S4_14b9d993,S4,B,131.0,236.0,131.0,6→18→12,False,18_before_12,146.0,236.0,116.0,18→6→12,False,18_before_12,,False,False,146.0,296.0,131.0,bottom_before_top_or_middle,146.0,296.0,146.0,bottom_before_top_or_middle,146.0,341.0,236.0,bottom_before_top_or_middle,146.0,341.0,236.0,bottom_before_top_or_middle,146.0,371.0,131.0,bottom_before_top_or_middle,146.0,371.0,116.0,bottom_before_top_or_middle,True,True,False
2024,2024-06-28_S3_S4_14b9d993,S4,M,296.0,341.0,371.0,6→12→18,True,expected,296.0,341.0,371.0,6→12→18,True,expected,,False,False,146.0,296.0,131.0,bottom_before_top_or_middle,146.0,296.0,146.0,bottom_before_top_or_middle,146.0,341.0,236.0,bottom_before_top_or_middle,146.0,341.0,236.0,bottom_before_top_or_middle,146.0,371.0,131.0,bottom_before_top_or_middle,146.0,371.0,116.0,bottom_before_top_or_middle,True,True,False
2024,2024-06-28_S3_S4_14b9d993,S4,T,146.0,146.0,146.0,6→12→18,True,expected,146.0,146.0,146.0,6→12→18,True,expected,,False,False,146.0,296.0,131.0,bottom_before_top_or_middle,146.0,296.0,146.0,bottom_before_top_or_middle,146.0,341.0,236.0,bottom_before_top_or_middle,146.0,341.0,236.0,bottom_before_top_or_middle,146.0,371.0,131.0,bottom_before_top_or_middle,146.0,371.0,116.0,bottom_before_top_or_middle,True,True,False
2024,2024-07-11_S3_S4_d29231ea,S3,B,14.0,14.0,14.0,6→12→18,True,expected,-16.0,14.0,14.0,6→12→18,True,expected,6,True,False,209.0,14.0,14.0,bottom_before_top_or_middle,209.0,-31.0,-16.0,bottom_before_top_or_middle,224.0,,14.0,some_loggers_arrived_before_start,224.0,-31.0,14.0,bottom_before_top_or_middle,254.0,14.0,14.0,bottom_before_top_or_middle,254.0,-31.0,14.0,bottom_before_top_or_middle,True,True,False
2024,2024-07-11_S3_S4_d29231ea,S3,M,14.0,,14.0,6→18,False,all_depths_arrived_before_start,-31.0,-31.0,-31.0,6→12→18,True,expected,"6,12,18",True,True,209.0,14.0,14.0,bottom_before_top_or_middle,209.0,-31.0,-16.0,bottom_before_top_or_middle,224.0,,14.0,some_loggers_arrived_before_start,224.0,-31.0,14.0,bottom_before_top_or_middle,254.0,14.0,14.0,bottom_before_top_or_middle,254.0,-31.0,14.0,bottom_before_top_or_middle,True,True,False
2024,2024-07-11_S3_S4_d29231ea,S3,T,209.0,224.0,254.0,6→12→18,True,expected,209.0,224.0,254.0,6→12→18,True,expected,,False,False,209.0,14.0,14.0,bottom_before_top_or_middle,209.0,-31.0,-16.0,bottom_before_top_or_middle,224.0,,14.0,some_loggers_arrived_before_start,224.0,-31.0,14.0,bottom_before_top_or_middle,254.0,14.0,14.0,bottom_before_top_or_middle,254.0,-31.0,14.0,bottom_before_top_or_middle,True,True,False
