year,strip,event_id,logger_position,irrigation_start,irrigation_end,event_duration_hours,gallons_strip,avg_flow_gph_strip,alt_arrival_minutes_after_irrigation_start_6in,alt_arrival_minutes_after_irrigation_start_12in,alt_arrival_minutes_after_irrigation_start_18in,alt_arrival_vwc_6in,alt_arrival_vwc_12in,alt_arrival_vwc_18in,arrival_minutes_after_irrigation_start_6in,arrival_minutes_after_irrigation_start_12in,arrival_minutes_after_irrigation_start_18in,arrival_vwc_6in,arrival_vwc_12in,arrival_vwc_18in,peak_vwc_6in,peak_vwc_12in,peak_vwc_18in,pre_vwc_6in,pre_vwc_12in,pre_vwc_18in,pre_profile_vwc_mean,pre_profile_vwc_min,pre_profile_vwc_max,delta_vwc_6in,delta_vwc_12in,delta_vwc_18in,delta_profile_vwc_mean,first_arrival_min,last_arrival_min,vertical_spread_min,distance_from_furrow_start_ft,vertical_velocity_6_to_12_in_per_min,vertical_velocity_12_to_18_in_per_min,vertical_velocity_6_to_18_in_per_min
2024.00,S3,2024-05-17_S3_S4_09c73fc7,M,2024-05-17 13:31:00,2024-05-17 19:09:00,5.63,47550.00,8440.83,524.0,524.0,524.0,26.05,32.83,23.38,524.0,524.0,524.0,26.05,32.83,23.38,43.48,36.65,37.83,18.67,22.27,22.05,21.00,18.67,22.27,24.81,14.38,15.78,18.32,524.0,524.0,0.0,169.00,,,
2024.00,S3,2024-05-17_S3_S4_09c73fc7,T,2024-05-17 13:31:00,2024-05-17 19:09:00,5.63,47550.00,8440.83,59.0,44.0,74.0,21.07,26.74,40.62,44.0,44.0,59.0,14.84,26.74,35.02,40.17,39.06,45.87,14.52,26.19,34.65,25.12,14.52,34.65,25.65,12.87,11.22,16.58,44.0,59.0,15.0,54.00,,0.40,0.80
2024.00,S4,2024-05-17_S3_S4_09c73fc7,B,2024-05-17 13:31:00,2024-05-17 19:09:00,5.63,47550.00,8440.83,134.0,134.0,134.0,17.80,30.92,23.59,134.0,134.0,134.0,17.80,30.92,23.59,36.63,38.11,40.04,11.54,29.66,22.72,21.30,11.54,29.66,25.09,8.45,17.32,16.96,134.0,134.0,0.0,284.00,,,
2024.00,S4,2024-05-17_S3_S4_09c73fc7,M,2024-05-17 13:31:00,2024-05-17 19:09:00,5.63,47550.00,8440.83,74.0,74.0,89.0,20.84,21.31,25.13,74.0,74.0,89.0,20.84,21.31,25.13,37.70,34.77,33.17,13.89,17.52,23.19,18.20,13.89,23.19,23.81,17.25,9.98,17.01,74.0,89.0,15.0,169.00,,0.40,0.80
2024.00,S4,2024-05-17_S3_S4_09c73fc7,T,2024-05-17 13:31:00,2024-05-17 19:09:00,5.63,47550.00,8440.83,29.0,29.0,29.0,31.85,35.05,36.55,29.0,29.0,29.0,31.85,35.05,36.55,35.86,40.20,39.33,11.34,17.83,26.41,18.52,11.34,26.41,24.52,22.37,12.92,19.94,29.0,29.0,0.0,54.00,,,
2024.00,S1,2024-06-01_S1_S2_ef46e32f,B,2024-06-01 18:05:00,2024-06-02 07:46:00,13.68,81250.00,5937.88,685.0,790.0,895.0,28.17,34.19,33.89,205.0,115.0,835.0,31.81,31.99,31.46,49.23,51.64,43.35,31.53,31.58,30.95,31.35,30.95,31.58,17.70,20.06,12.40,16.72,115.0,835.0,720.0,284.00,,0.01,0.02
2024.00,S1,2024-06-01_S1_S2_ef46e32f,M,2024-06-01 18:05:00,2024-06-02 07:46:00,13.68,81250.00,5937.88,265.0,325.0,385.0,16.48,18.25,30.59,220.0,280.0,385.0,13.42,17.37,30.59,40.16,37.30,39.53,12.87,17.09,29.82,19.93,12.87,29.82,27.29,20.20,9.71,19.07,220.0,385.0,165.0,169.00,0.10,0.06,0.07
2024.00,S1,2024-06-01_S1_S2_ef46e32f,T,2024-06-01 18:05:00,2024-06-02 07:46:00,13.68,81250.00,5937.88,25.0,25.0,25.0,18.50,17.88,25.38,25.0,25.0,25.0,18.50,17.88,25.38,42.26,42.04,44.41,16.27,14.49,18.58,16.45,14.49,18.58,25.99,27.54,25.83,26.45,25.0,25.0,0.0,54.00,,,
2024.00,S2,2024-06-01_S1_S2_ef46e32f,B,2024-06-01 18:05:00,2024-06-02 07:46:00,13.68,81250.00,5937.88,220.0,190.0,220.0,10.11,9.31,14.52,220.0,190.0,205.0,10.11,9.31,7.51,39.70,35.97,41.29,9.37,7.39,7.20,7.98,7.20,9.37,30.34,28.58,34.10,31.00,190.0,220.0,30.0,284.00,,0.40,
2024.00,S2,2024-06-01_S1_S2_ef46e32f,M,2024-06-01 18:05:00,2024-06-02 07:46:00,13.68,81250.00,5937.88,85.0,100.0,100.0,22.53,18.90,23.59,85.0,100.0,85.0,22.53,18.90,8.32,39.42,37.76,39.82,12.76,11.67,8.05,10.83,8.05,12.76,26.67,26.08,31.77,28.17,85.0,100.0,15.0,169.00,0.40,,
