year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,plot_start,plot_end,baseline_vwc,arrival_threshold_vwc,arrival_time,arrival_vwc,arrival_minutes_after_irrigation_start,arrival_before_irrigation_start,gallons_strip,event_duration_hours,alt_arrival_threshold_vwc,alt_arrival_time,alt_arrival_vwc,alt_arrival_step_vwc,alt_arrival_minutes_after_irrigation_start,alt_arrival_before_irrigation_start
2026,S1_S2,west,S2,2026-05-20_S1_S2_49743b7c,VWC_2_raw_S2_M,2,12,M,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,16.217,0.25,2026-05-20 13:15:00,20.633,112.0,False,54400.0,6.5,0.5,2026-05-20 13:15:00,20.633,4.475,112.0,False
2026,S1_S2,west,S2,2026-05-20_S1_S2_49743b7c,VWC_3_raw_S2_M,3,18,M,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,27.018,0.25,2026-05-20 13:15:00,30.927,112.0,False,54400.0,6.5,0.5,2026-05-20 13:15:00,30.927,4.001,112.0,False
2026,S1_S2,west,S2,2026-05-20_S1_S2_49743b7c,VWC_1_raw_S2_T,1,6,T,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,10.383,0.25,,,,,54400.0,6.5,0.5,2026-05-20 10:45:00,24.285,13.89,-38.0,True
2026,S1_S2,west,S2,2026-05-20_S1_S2_49743b7c,VWC_2_raw_S2_T,2,12,T,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,18.626,0.25,,,,,54400.0,6.5,0.5,2026-05-20 10:45:00,29.687,11.133,-38.0,True
2026,S1_S2,west,S2,2026-05-20_S1_S2_49743b7c,VWC_3_raw_S2_T,3,18,T,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,30.88,0.25,,,,,54400.0,6.5,0.5,2026-05-20 10:45:00,33.288,2.449,-38.0,True
2026,S1_S2,west,S1,2026-06-20_S1_S2_9166ff27,VWC_1_raw_S1_B,1,6,B,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,15.039,0.25,2026-06-20 17:00:00,15.603,540.0,False,65700.0,9.05,0.5,2026-06-20 17:45:00,16.569,0.621,585.0,False
2026,S1_S2,west,S1,2026-06-20_S1_S2_9166ff27,VWC_2_raw_S1_B,2,12,B,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,11.873,0.25,2026-06-20 18:00:00,13.274,600.0,False,65700.0,9.05,0.5,2026-06-20 18:00:00,13.274,1.513,600.0,False
2026,S1_S2,west,S1,2026-06-20_S1_S2_9166ff27,VWC_3_raw_S1_B,3,18,B,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,8.611,0.25,2026-06-20 18:30:00,8.877,630.0,False,65700.0,9.05,0.5,2026-06-20 19:00:00,10.257,1.357,660.0,False
2026,S1_S2,west,S1,2026-06-20_S1_S2_9166ff27,VWC_1_raw_S1_M,1,6,M,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,15.709,0.25,2026-06-20 11:30:00,15.968,210.0,False,65700.0,9.05,0.5,2026-06-20 12:00:00,16.79,0.595,240.0,False
2026,S1_S2,west,S1,2026-06-20_S1_S2_9166ff27,VWC_2_raw_S1_M,2,12,M,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,16.554,0.25,2026-06-20 12:00:00,18.005,240.0,False,65700.0,9.05,0.5,2026-06-20 12:00:00,18.005,1.23,240.0,False
