year,event_id,strip,logger_position,arrival_6in_min,arrival_12in_min,arrival_18in_min,arrival_order,expected_order,order_class,alt_arrival_6in_min,alt_arrival_12in_min,alt_arrival_18in_min,alt_arrival_order,alt_expected_order,alt_order_class,alt_before_start_depths,any_alt_before_start,all_alt_before_start,baseline_vwc_6in,baseline_vwc_12in,baseline_vwc_18in,elevated_18in_baseline_context,depth_profile_interpretation,arrival_6in_T_min,arrival_6in_M_min,arrival_6in_B_min,arrival_6in_logger_order_class,alt_arrival_6in_T_min,alt_arrival_6in_M_min,alt_arrival_6in_B_min,alt_arrival_6in_logger_order_class,arrival_12in_T_min,arrival_12in_M_min,arrival_12in_B_min,arrival_12in_logger_order_class,alt_arrival_12in_T_min,alt_arrival_12in_M_min,alt_arrival_12in_B_min,alt_arrival_12in_logger_order_class,arrival_18in_T_min,arrival_18in_M_min,arrival_18in_B_min,arrival_18in_logger_order_class,alt_arrival_18in_T_min,alt_arrival_18in_M_min,alt_arrival_18in_B_min,alt_arrival_18in_logger_order_class,any_bottom_before_top_or_middle,any_alt_bottom_before_top_or_middle,any_all_loggers_before_start
2026,2026-04-21_S3_S4_ed1ed131,S4,M,186.0,186.0,216.0,6→12→18,True,expected,186.0,186.0,216.0,6→12→18,True,expected,,False,False,11.546,10.552,11.714,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",81.0,186.0,636.0,expected,81.0,186.0,621.0,expected,81.0,186.0,741.0,expected,81.0,186.0,801.0,expected,81.0,216.0,816.0,expected,81.0,216.0,876.0,expected,False,False,False
2026,2026-04-21_S3_S4_ed1ed131,S4,T,81.0,81.0,81.0,6→12→18,True,expected,81.0,81.0,81.0,6→12→18,True,expected,,False,False,9.561,15.282,24.692,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",81.0,186.0,636.0,expected,81.0,186.0,621.0,expected,81.0,186.0,741.0,expected,81.0,186.0,801.0,expected,81.0,216.0,816.0,expected,81.0,216.0,876.0,expected,False,False,False
2026,2026-05-08_S3_S4_989607cc,S3,B,60.0,75.0,90.0,6→12→18,True,expected,60.0,75.0,90.0,6→12→18,True,expected,,False,False,19.141,21.568,14.087,False,,195.0,75.0,60.0,bottom_before_top_or_middle,195.0,75.0,60.0,bottom_before_top_or_middle,525.0,75.0,75.0,bottom_before_top_or_middle,525.0,75.0,75.0,bottom_before_top_or_middle,630.0,75.0,90.0,bottom_before_top_or_middle,705.0,75.0,90.0,bottom_before_top_or_middle,True,True,False
2026,2026-05-08_S3_S4_989607cc,S3,M,75.0,75.0,75.0,6→12→18,True,expected,75.0,75.0,75.0,6→12→18,True,expected,,False,False,19.161,22.682,24.763,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",195.0,75.0,60.0,bottom_before_top_or_middle,195.0,75.0,60.0,bottom_before_top_or_middle,525.0,75.0,75.0,bottom_before_top_or_middle,525.0,75.0,75.0,bottom_before_top_or_middle,630.0,75.0,90.0,bottom_before_top_or_middle,705.0,75.0,90.0,bottom_before_top_or_middle,True,True,False
2026,2026-05-08_S3_S4_989607cc,S3,T,195.0,525.0,630.0,6→12→18,True,expected,195.0,525.0,705.0,6→12→18,True,expected,,False,False,25.031,26.966,42.428,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",195.0,75.0,60.0,bottom_before_top_or_middle,195.0,75.0,60.0,bottom_before_top_or_middle,525.0,75.0,75.0,bottom_before_top_or_middle,525.0,75.0,75.0,bottom_before_top_or_middle,630.0,75.0,90.0,bottom_before_top_or_middle,705.0,75.0,90.0,bottom_before_top_or_middle,True,True,False
2026,2026-05-08_S3_S4_989607cc,S4,B,330.0,510.0,480.0,6→18→12,False,18_before_12,405.0,555.0,540.0,6→18→12,False,18_before_12,,False,False,28.525,32.726,29.954,False,,90.0,150.0,330.0,expected,90.0,150.0,405.0,expected,90.0,150.0,510.0,expected,90.0,150.0,555.0,expected,90.0,165.0,480.0,expected,90.0,165.0,540.0,expected,False,False,False
2026,2026-05-08_S3_S4_989607cc,S4,M,150.0,150.0,165.0,6→12→18,True,expected,150.0,150.0,165.0,6→12→18,True,expected,,False,False,14.557,15.975,21.782,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",90.0,150.0,330.0,expected,90.0,150.0,405.0,expected,90.0,150.0,510.0,expected,90.0,150.0,555.0,expected,90.0,165.0,480.0,expected,90.0,165.0,540.0,expected,False,False,False
2026,2026-05-08_S3_S4_989607cc,S4,T,90.0,90.0,90.0,6→12→18,True,expected,90.0,90.0,90.0,6→12→18,True,expected,,False,False,16.698,23.263,29.811,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",90.0,150.0,330.0,expected,90.0,150.0,405.0,expected,90.0,150.0,510.0,expected,90.0,150.0,555.0,expected,90.0,165.0,480.0,expected,90.0,165.0,540.0,expected,False,False,False
2026,2026-05-20_S1_S2_49743b7c,S1,B,442.0,532.0,622.0,6→12→18,True,expected,487.0,532.0,622.0,6→12→18,True,expected,,False,False,17.047,17.502,13.237,False,,82.0,172.0,442.0,expected,82.0,187.0,487.0,expected,97.0,202.0,532.0,expected,97.0,202.0,532.0,expected,127.0,232.0,622.0,expected,127.0,232.0,622.0,expected,False,False,False
2026,2026-05-20_S1_S2_49743b7c,S1,M,172.0,202.0,232.0,6→12→18,True,expected,187.0,202.0,232.0,6→12→18,True,expected,,False,False,19.224,19.261,33.866,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",82.0,172.0,442.0,expected,82.0,187.0,487.0,expected,97.0,202.0,532.0,expected,97.0,202.0,532.0,expected,127.0,232.0,622.0,expected,127.0,232.0,622.0,expected,False,False,False
2026,2026-05-20_S1_S2_49743b7c,S1,T,82.0,97.0,127.0,6→12→18,True,expected,82.0,97.0,127.0,6→12→18,True,expected,,False,False,29.066,27.51,31.962,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",82.0,172.0,442.0,expected,82.0,187.0,487.0,expected,97.0,202.0,532.0,expected,97.0,202.0,532.0,expected,127.0,232.0,622.0,expected,127.0,232.0,622.0,expected,False,False,False
2026,2026-05-20_S1_S2_49743b7c,S2,B,142.0,172.0,172.0,6→12→18,True,expected,187.0,172.0,172.0,12→18→6,False,12_before_6,,False,False,10.162,12.433,17.481,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",22.0,112.0,142.0,expected,22.0,112.0,187.0,expected,22.0,112.0,172.0,expected,22.0,112.0,172.0,expected,22.0,112.0,172.0,expected,22.0,112.0,172.0,expected,False,False,False
2026,2026-05-20_S1_S2_49743b7c,S2,M,112.0,112.0,112.0,6→12→18,True,expected,112.0,112.0,112.0,6→12→18,True,expected,,False,False,15.142,16.217,27.018,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",22.0,112.0,142.0,expected,22.0,112.0,187.0,expected,22.0,112.0,172.0,expected,22.0,112.0,172.0,expected,22.0,112.0,172.0,expected,22.0,112.0,172.0,expected,False,False,False
2026,2026-05-20_S1_S2_49743b7c,S2,T,22.0,22.0,22.0,6→12→18,True,expected,22.0,22.0,22.0,6→12→18,True,expected,,False,False,10.339,18.617,30.899,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",22.0,112.0,142.0,expected,22.0,112.0,187.0,expected,22.0,112.0,172.0,expected,22.0,112.0,172.0,expected,22.0,112.0,172.0,expected,22.0,112.0,172.0,expected,False,False,False
2026,2026-05-21_S3_S4_272f948e,S3,B,33.0,48.0,63.0,6→12→18,True,expected,33.0,48.0,63.0,6→12→18,True,expected,,False,False,15.425,18.671,14.842,False,,153.0,48.0,33.0,bottom_before_top_or_middle,213.0,48.0,33.0,bottom_before_top_or_middle,1023.0,48.0,48.0,bottom_before_top_or_middle,,48.0,48.0,missing_loggers,,63.0,63.0,missing_loggers,,63.0,63.0,missing_loggers,True,True,False
2026,2026-05-21_S3_S4_272f948e,S3,M,48.0,48.0,63.0,6→12→18,True,expected,48.0,48.0,63.0,6→12→18,True,expected,,False,False,16.84,22.531,27.381,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",153.0,48.0,33.0,bottom_before_top_or_middle,213.0,48.0,33.0,bottom_before_top_or_middle,1023.0,48.0,48.0,bottom_before_top_or_middle,,48.0,48.0,missing_loggers,,63.0,63.0,missing_loggers,,63.0,63.0,missing_loggers,True,True,False
2026,2026-05-21_S3_S4_272f948e,S3,T,153.0,1023.0,,6→12,False,missing_depths,213.0,,,6,False,missing_depths,,False,False,24.959,26.292,42.118,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",153.0,48.0,33.0,bottom_before_top_or_middle,213.0,48.0,33.0,bottom_before_top_or_middle,1023.0,48.0,48.0,bottom_before_top_or_middle,,48.0,48.0,missing_loggers,,63.0,63.0,missing_loggers,,63.0,63.0,missing_loggers,True,True,False
2026,2026-05-21_S3_S4_272f948e,S4,B,288.0,,108.0,18→6,False,missing_depths,363.0,,348.0,18→6,False,missing_depths,,False,False,25.922,32.809,34.801,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",78.0,123.0,288.0,expected,78.0,123.0,363.0,expected,78.0,123.0,,missing_loggers,78.0,123.0,,missing_loggers,78.0,138.0,108.0,bottom_before_top_or_middle,78.0,138.0,348.0,expected,True,False,False
2026,2026-05-21_S3_S4_272f948e,S4,M,123.0,123.0,138.0,6→12→18,True,expected,123.0,123.0,138.0,6→12→18,True,expected,,False,False,13.962,13.315,21.198,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",78.0,123.0,288.0,expected,78.0,123.0,363.0,expected,78.0,123.0,,missing_loggers,78.0,123.0,,missing_loggers,78.0,138.0,108.0,bottom_before_top_or_middle,78.0,138.0,348.0,expected,True,False,False
